amenities,bathroom,bedroom,furnishing,location,parking,price,property_name,property_type,sale_rent,size,url
,,,,"Bashundhara R/A , Dhaka",,Call for price,"Ready Plot Sale at Bashundhara R/A, N Extension Block.",Residential Plot,Sale, 10 Katha ,https://www.bdhousing.com/details/245766/ready-residential-plot-sale-bashundhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Furnished        ","Wari , Dhaka",Parking 1,Call for price,Madina Sahera Garden,Apartment/Flats,Sale, 1334 sqft ,https://www.bdhousing.com/details/245184/1334-sqft-3-beds-ready-apartment-flats-for-sale-at-wari
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 1.10 Cr.,South Breeze,Apartment/Flats,Sale, 1455 sqft ,https://www.bdhousing.com/details/243515/1455-sqft-3-beds-upcoming-apartment-flats-for-sale-at-bashundhara-r-a
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,Call for price,KHL Mehrima,Apartment/Flats,Sale, 2197 sqft ,https://www.bdhousing.com/details/245350/4-beds-ready-apartment-flats-sale-bashundhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,03,"
                Furnished        ","Mirpur 6 , Dhaka",Parking 1,BDT 1.50 Cr.,Mohazan properties Ltd,Apartment/Flats,Sale, 1920 sqft ,https://www.bdhousing.com/details/245652/1920-sqft-3-beds-ready-apartment-flats-for-sale-at-mirpur-6
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",05,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 2.69 Cr.,KHL Laboni's Dream,Apartment/Flats,Sale, 2197 sqft ,https://www.bdhousing.com/details/245272/4-beds-under-apartment-flats-sale-bashundhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,05,"
                Furnished        ","Dhanmondi , Dhaka",Parking 1,Call for price,Navana Blooming Dale,Apartment/Flats,Sale, 2521 sqft ,https://www.bdhousing.com/details/230642/2521-sqft-5-beds-under-construction-flat-for-sale-at-dhanmondi
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Kalshi , Dhaka",Parking 1,Call for price,Lake Imperial Tower,Land Sharing Flat,Sale, 1254 sqft ,https://www.bdhousing.com/details/245620/3-beds-land-sharing-flat-sale-kalshi
,03,03,"
                Unfurnished        ","Savar , Dhaka",No Parking,Call for price,GREENWOOD South Castle,Apartment/Flats,Sale, 1325 sqft ,https://www.bdhousing.com/details/244574/2700-sqft-4-beds-under-construction-apartment-flats-for-sale-at-savar
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 93.24 Lac,Fortress Tuberose,Land Sharing Flat,Sale, 2050 sqft ,https://www.bdhousing.com/details/245163/2050-sqft-4-beds-flats-sale-bashundhara
