area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,locality,id,expendable_amenity_count,unclassify_amenity_count
2000.0,Apartment,Commercial,3.0,4.0,50000.0,Rent,Baridhara,pbazaar-1139,0,0
1860.0,Apartment,Commercial,4.0,3.0,50000.0,Rent,Baridhara,pbazaar-1140,0,0
2000.0,Apartment,Commercial,2.0,3.0,50000.0,Rent,Baridhara,pbazaar-1143,0,0
1200.0,Apartment,Commercial,2.0,2.0,18000.0,Rent,Uttara West,pbazaar-1144,0,0
1130.0,Apartment,Commercial,3.0,3.0,23000.0,Rent,Mirpur,pbazaar-1157,0,0
1200.0,Apartment,Commercial,3.0,3.0,25000.0,Rent,Mohammadpur ,pbazaar-1159,0,0
1300.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,Shyamoli,pbazaar-1161,0,0
1480.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,Uttara East,pbazaar-1162,0,0
1000.0,Apartment,Commercial,2.0,2.0,30500.0,Rent,Mirpur,pbazaar-1164,0,0
900.0,Apartment,Commercial,2.0,2.0,22000.0,Rent,Nikunja,pbazaar-1166,0,0
900.0,Apartment,Commercial,2.0,2.0,14500.0,Rent,Sher E Bangla Nagar ,pbazaar-1180,0,0
700.0,Apartment,Commercial,3.0,2.0,13000.0,Rent,Sher E Bangla Nagar ,pbazaar-1182,0,0
800.0,Apartment,Commercial,2.0,2.0,12000.0,Rent,Sher E Bangla Nagar ,pbazaar-1183,0,0
1100.0,Apartment,Commercial,2.0,3.0,30000.0,Rent,Cantonment,pbazaar-1187,0,0
1200.0,Apartment,Commercial,3.0,3.0,25000.0,Rent,Niketan,pbazaar-1188,0,0
250.0,Apartment,Commercial,1.0,1.0,250.0,Rent,Niketan,pbazaar-1189,0,0
1875.0,Apartment,Commercial,4.0,3.0,22000.0,Rent,Banashree,pbazaar-1201,0,0
600.0,Apartment,Commercial,1.0,2.0,12000.0,Rent,Banashree,pbazaar-1202,0,0
1000.0,Apartment,Commercial,3.0,4.0,30000.0,Rent,Lalmatia,pbazaar-1203,0,0
1000.0,Apartment,Commercial,2.0,3.0,20000.0,Rent,Mirpur,pbazaar-1204,0,0
300.0,Apartment,Commercial,1.0,1.0,10000.0,Rent,Banashree,pbazaar-1209,0,0
600.0,Apartment,Commercial,1.0,1.0,16000.0,Rent,Banashree,pbazaar-1232,0,0
1300.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,DOHS Baridhara,pbazaar-1233,0,0
700.0,Apartment,Commercial,2.0,2.0,1.0,Rent,Banashree,pbazaar-1234,0,0
900.0,Apartment,Commercial,2.0,3.0,18000.0,Rent,Badda,pbazaar-1236,0,0
700.0,Apartment,Commercial,2.0,3.0,16000.0,Rent,Badda,pbazaar-1237,0,0
300.0,Apartment,Commercial,2.0,1.0,10000.0,Rent,DOHS Mirpur,pbazaar-1238,0,0
2250.0,Apartment,Commercial,4.0,4.0,32000.0,Rent,DOHS Mirpur,pbazaar-1239,0,0
