area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,dining,floor,floor_type,living,location,parking_space,price_per_month,property_type
1500,2,2,3,1,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,Negotiable,Furnished Apartment
2200,3,3,3,1,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2300,3,2,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2400,3,4,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2000,2,3,3,1,Space,3rd,,Space,"Dhanmondi, Dhaka, Bangladesh",,"90,000.00৳",Furnished Apartment
1800,3,2,3,1,Space,2nd,,Space,"Dhanmondi, Dhaka, Bangladesh",,"90,000.00৳",Furnished Apartment
1000,1,1,3,1,Room,15th,,Room,"Kalabagan, Dhaka, Bangladesh",,"33,500.00৳",Furnished Apartment
2650,2,3,3,1,Space,6th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,85,000.00৳",Furnished Apartment
3000,3,4,4,1,Space,8th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"1,20,000.00৳",Furnished Apartment
2600,4,2,3,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2032,3,3,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2200,3,1,2,1,Space,6th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
3850,2,3,4,1,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",,"1,65,000.00৳",Furnished Apartment
1150,3,2,3,1,Space,6th,,Space,"Banashree, Dhaka, Bangladesh",,"22,000.00৳",Furnished Apartment
2300,3,2,3,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2000,3,3,3,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
1500,3,3,4,1,Space,3rd,,Space,"Bashundhara RA, Dhaka, Bangladesh",,"55,000.00৳",Furnished Apartment
2300,3,3,3,1,Space,7th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"75,000.00৳",Furnished Apartment
4000,3,3,4,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2400,2,2,3,2,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2300,2,3,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
3000,3,2,3,,Space,Ground,,Space,"Baridhara, Dhaka, Bangladesh",,"1,10,000.00৳",Furnished Apartment
1550,3,3,4,1,Space,3rd,,Space,"Badda, Dhaka, Bangladesh",,"22,000.00৳",Furnished Apartment
1400,2,2,3,1,Space,5th,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2900,2,3,3,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,80,000.00৳",Furnished Apartment
1750,2,2,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,12,000.00৳",Furnished Apartment
2500,2,3,4,2,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",,"1,20,000.00৳",Furnished Apartment
2800,2,2,2,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
2500,2,3,3,1,Room,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2250,2,3,3,1,Room,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2600,2,1,3,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2250,2,2,3,2,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2000,2,3,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1825,3,,3,1,Space,8th,,Space,"Uttara East, Dhaka, Bangladesh",,"80,000.00৳",Furnished Apartment
1900,1,4,3,2,Space,8th,,Room,"Bashundhara RA, Dhaka, Bangladesh",,"70,000.00৳",Furnished Apartment
2400,2,2,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1500,2,3,3,1,Space,3rd,,Space,"Niketan, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2000,2,4,3,1,Space,8th,,Space,"Niketan, Dhaka, Bangladesh",1,"40,000.00৳",Furnished Apartment
1680,3,4,3,,Space,2nd,,Space,"Niketan, Dhaka, Bangladesh",1,"40,000.00৳",Furnished Apartment
2950,3,2,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2350,3,,3,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2400,3,,2,2,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2500,3,1,3,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2400,2,3,3,1,Space,6th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
450,1,1,1,1,Space,6th,,Space,"Baridhara, Dhaka, Bangladesh",,"25,000.00৳",Furnished Apartment
2800,2,2,3,1,Space,2nd,,Space,"Nikunja, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1650,2,3,3,1,Space,5th,,Space,"Bashundhara RA, Dhaka, Bangladesh",,"50,000.00৳",Furnished Apartment
3000,4,5,4,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1120,1,3,2,1,Space,4th,,Space,"Paltan, Dhaka, Bangladesh",1,"30,000.00৳",Furnished Apartment
1300,1,2,3,1,Space,4th,,Room,"Uttara East, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2200,2,3,3,1,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2500,4,4,4,1,Space,3rd,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
1350,3,2,3,1,Space,3rd,,Space,"Dhanmondi, Dhaka, Bangladesh",1,"30,000.00৳",Furnished Apartment
450,1,,1,,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",,"90,000.00৳",Furnished Apartment
7500,5,,6,,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"7,00,000.00৳",Furnished Apartment
3000,3,2,3,,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",,"1,60,000.00৳",Furnished Apartment
2580,2,2,4,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,25,000.00৳",Furnished Apartment
1500,3,4,3,,Space,3rd,,Space,"Nikunja, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2300,2,3,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2400,3,1,3,,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2300,3,3,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1580,3,3,3,1,Room,9th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1650,2,3,3,1,Space,2nd,,Space,"Niketan, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
1450,2,2,3,1,Space,1st,,Space,"Niketan, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2100,3,4,3,1,Space,5th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2400,3,2,3,,Room,3rd,,Room,"Baridhara, Dhaka, Bangladesh",,"1,20,000.00৳",Furnished Apartment
2600,3,1,3,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2900,2,,3,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1200,1,1,3,1,Space,4th,,Space,"Paltan, Dhaka, Bangladesh",1,"30,000.00৳",Furnished Apartment
3000,3,2,3,,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1000,2,,2,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",,"35,000.00৳",Furnished Apartment
1200,1,2,3,1,Space,6th,,Space,"Airport, Dhaka, Bangladesh",,"30,000.00৳",Furnished Apartment
1480,2,2,3,1,Space,4th,,Space,"Kallaynpur, Dhaka, Bangladesh",1,"20,000.00৳",Furnished Apartment
700,1,,2,,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"35,000.00৳",Furnished Apartment
2800,2,2,3,,Space,Ground,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
3000,3,3,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2500,3,3,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
3000,3,2,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,40,000.00৳",Furnished Apartment
2250,4,3,3,1,Space,2nd,,Space,"DOHS Mirpur, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1,1,,1,,Space,3rd,,Space,"Banglamotor, Dhaka, Bangladesh",,Negotiable,Furnished Apartment
1350,2,2,3,1,Space,3rd,,Space,"DOHS Baridhara, Dhaka, Bangladesh",,"55,000.00৳",Furnished Apartment
2000,4,4,3,1,Space,10th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2250,3,3,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,20,000.00৳",Furnished Apartment
1200,2,1,2,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",,"35,000.00৳",Furnished Apartment
2000,3,4,3,,Space,5th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2700,4,3,4,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,90,000.00৳",Furnished Apartment
1750,4,2,3,1,Space,9th,,Space,"Badda, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
1400,2,2,3,,Space,1st,,Space,"Farmgate, Dhaka, Bangladesh",,Negotiable,Furnished Apartment
2650,3,2,3,,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2800,3,,4,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2650,3,2,3,,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2400,3,3,3,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2300,3,2,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,25,000.00৳",Furnished Apartment
2600,3,2,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2000,3,3,3,,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2300,2,2,3,1,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"85,000.00৳",Furnished Apartment
2800,3,2,3,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
6200,4,2,4,1,Room,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",3,"2,50,000.00৳",Furnished Apartment
3000,3,3,4,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"2,50,000.00৳",Furnished Apartment
600,1,1,2,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",,"35,000.00৳",Furnished Apartment
2500,2,1,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1800,2,1,3,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,40,000.00৳",Furnished Apartment
2400,4,,4,,Space,5th,,Space,"Dhanmondi, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2200,3,1,3,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
1950,2,3,3,1,Space,4th,,Space,"Dhanmondi, Dhaka, Bangladesh",1,"75,000.00৳",Furnished Apartment
3200,4,3,4,,Space,7th,,Space,"Baridhara, Dhaka, Bangladesh",1,"3,50,000.00৳",Furnished Apartment
3400,4,2,4,,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"3,00,000.00৳",Furnished Apartment
2000,3,3,3,,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
3247,3,3,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1730,2,3,3,1,Space,1st,,Space,"Sylhet City, Sylhet, Bangladesh",1,"55,000.00৳",Furnished Apartment
3000,4,4,4,1,Room,3rd,,Room,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
3500,3,3,3,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",2,"80,000.00৳",Furnished Apartment
2867,4,3,4,,Space,17th,,Space,"Banglamotor, Dhaka, Bangladesh",1,"2,00,000.00৳",Furnished Apartment
1650,2,3,3,1,Space,3rd,,Space,"Airport, Dhaka, Bangladesh",,"42,000.00৳",Furnished Apartment
2600,3,1,3,,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2300,3,2,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,00,000.00৳",Furnished Apartment
2200,3,1,3,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2610,3,4,4,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,00,000.00৳",Furnished Apartment
2200,3,3,3,,Space,6th,,Space,"Dhanmondi, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2250,2,1,3,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2300,3,3,3,,Space,6th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,65,000.00৳",Furnished Apartment
2000,3,3,3,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2600,3,3,3,1,Room,1st,,Space,"DOHS Baridhara, Dhaka, Bangladesh",,"1,50,000.00৳",Furnished Apartment
2700,2,2,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,30,000.00৳",Furnished Apartment
2900,3,1,3,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",2,"70,000.00৳",Furnished Apartment
2400,3,,3,,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",2,"50,000.00৳",Furnished Apartment
1400,2,1,2,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
3000,4,2,4,,Space,4th,,Space,"DOHS Mohakhali, Dhaka, Bangladesh",,"1,00,000.00৳",Furnished Apartment
2375,3,3,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2200,2,4,3,1,Space,6th,,Space,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Furnished Apartment
1780,2,2,2,,Space,3rd,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"35,000.00৳",Furnished Apartment
2750,3,3,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,40,000.00৳",Furnished Apartment
2250,2,3,3,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
1400,2,1,2,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
1860,3,2,4,1,Space,3rd,,Space,"Niketan, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2250,3,4,3,,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1450,2,2,3,1,Room,3rd,,Space,"DOHS Baridhara, Dhaka, Bangladesh",,"55,000.00৳",Furnished Apartment
3000,3,1,3,,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",,"1,70,000.00৳",Furnished Apartment
3000,2,3,3,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2000,4,4,4,1,Space,2nd,,Space,"DOHS Mirpur, Dhaka, Bangladesh",,"35,000.00৳",Furnished Apartment
2500,2,2,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1370,2,3,3,1,Space,5th,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1136,1,2,3,1,Space,3rd,,Space,"Rajshahi City, Rajshahi, Bangladesh",,"90,000.00৳",Furnished Apartment
2100,2,2,3,1,Space,6th,,Space,"Sylhet City, Sylhet, Bangladesh",1,"30,000.00৳",Furnished Apartment
2500,2,3,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2200,2,3,3,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",,"1,25,000.00৳",Furnished Apartment
2300,3,2,3,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,15,000.00৳",Furnished Apartment
3000,4,3,4,1,Room,5th,,Room,"Gulshan 1, Dhaka, Bangladesh",2,"1,60,000.00৳",Furnished Apartment
1400,2,,3,1,Space,4th,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2000,3,3,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",,"1,10,000.00৳",Furnished Apartment
2410,3,4,4,3,Space,6th,,Space,"Dhanmondi, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1520,2,3,2,2,Space,2nd,,Space,"Niketan, Dhaka, Bangladesh",1,"40,000.00৳",Furnished Apartment
2600,3,2,4,1,Space,5th,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2350,2,2,3,1,Space,4th,,Space,"DOHS Banani, Dhaka, Bangladesh",1,"1,67,000.00৳",Furnished Apartment
1,1,,1,1,Space,15th,,Space,"Bashundhara RA, Dhaka, Bangladesh",,Negotiable,Furnished Apartment
1850,2,,2,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",,"1,20,000.00৳",Furnished Apartment
1900,2,,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",,Negotiable,Furnished Apartment
2526,4,3,4,,Space,4th,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"1,05,000.00৳",Furnished Apartment
3300,3,4,4,1,Space,5th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1870,2,4,4,1,Space,4th,,Space,"Chattogram City, Chattogram, Bangladesh",,"55,000.00৳",Furnished Apartment
3000,2,3,3,1,Space,2nd,,Space,"Sylhet City, Sylhet, Bangladesh",,"50,000.00৳",Furnished Apartment
2200,2,,4,2,Space,2nd,,Space,"DOHS Mirpur, Dhaka, Bangladesh",,"25,000.00৳",Furnished Apartment
2750,2,2,3,1,Room,1st,,Space,"DOHS Baridhara, Dhaka, Bangladesh",,"1,60,000.00৳",Furnished Apartment
1050,1,2,2,,Space,6th,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"45,000.00৳",Furnished Apartment
3130,4,4,4,,Space,3rd,,Room,"Lalmatia, Dhaka, Bangladesh",,"60,000.00৳",Furnished Apartment
2350,2,3,4,1,Space,4th,,Space,"DOHS Mirpur, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
1400,3,2,2,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
,1,,,,Space,1st,,Space,"Kalabagan, Dhaka, Bangladesh",,"8,000.00৳",Furnished Apartment
1270,2,3,3,1,Space,4th,,Space,"Kalabagan, Dhaka, Bangladesh",,"75,000.00৳",Furnished Apartment
1800,2,3,3,1,Space,1st,,Space,"Nikunja, Dhaka, Bangladesh",1,"3,50,000.00৳",Furnished Apartment
2510,3,3,4,1,Space,2nd,,Space,"DOHS Mohakhali, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2000,3,3,3,,Room,3rd,,Room,"Chattogram City, Chattogram, Bangladesh",1,"35,000.00৳",Furnished Apartment
1250,2,3,3,1,Space,4th,,Space,"Kalabagan, Dhaka, Bangladesh",,"65,000.00৳",Furnished Apartment
1452,3,3,3,1,Space,6th,,Space,"Paltan, Dhaka, Bangladesh",1,"1,45,000.00৳",Furnished Apartment
1800,2,3,3,1,Space,3rd,,Space,"Niketan, Dhaka, Bangladesh",,"75,000.00৳",Furnished Apartment
2200,3,2,3,,Room,8th,,Room,"Mohammadpur , Dhaka, Bangladesh",,"85,000.00৳",Furnished Apartment
3,1,3,2,1,Space,9th,,Space,"Kalabagan, Dhaka, Bangladesh",,"80,000.00৳",Furnished Apartment
1500,1,2,2,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"45,000.00৳",Furnished Apartment
1205,1,2,3,1,Space,3rd,,Space,"Mohammadpur , Dhaka, Bangladesh",,"30,000.00৳",Furnished Apartment
