area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_sft,property_type
2525,3,3,3,,5th,,"Kakrail, Dhaka, Bangladesh",1,"8,713.00৳",Apartment
1450,3,3,3,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,070.00৳",Apartment
6550,5,2,5,,2nd,,"Gulshan 1, Dhaka, Bangladesh",3,"18,321.00৳",Apartment
1850,3,3,4,1,3rd,,"Dhanmondi, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
2150,3,3,3,,3rd,,"Baridhara, Dhaka, Bangladesh",1,"20,931.00৳",Apartment
4,3,,3,,4th,,"Uttara West, Dhaka, Bangladesh",,"1,50,00,000.00৳",Apartment
1300,2,3,3,1,5th,,"Badda, Dhaka, Bangladesh",,"5,000.00৳",Apartment
2000,3,2,3,,1st,,"Banani, Dhaka, Bangladesh",1,"12,000.00৳",Apartment
3150,4,3,4,,1st,,"Bashundhara RA, Dhaka, Bangladesh",2,"9,525.00৳",Apartment
2930,3,4,3,1,6th,,"Gulshan 2, Dhaka, Bangladesh",2,"18,000.00৳",Apartment
2000,3,2,4,,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"11,000.00৳",Apartment
2250,3,4,3,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,778.00৳",Apartment
2000,2,2,3,1,9th,,"Niketan, Dhaka, Bangladesh",1,"12,500.00৳",Apartment
1700,4,4,5,1,2nd,,"Mirpur, Dhaka, Bangladesh",,"4,118.00৳",Apartment
2000,3,2,3,,9th,,"Niketan, Dhaka, Bangladesh",1,Negotiable,Apartment
1350,2,1,4,1,3rd,,"Dhanmondi, Dhaka, Bangladesh",1,"5,926.00৳",Apartment
1137,2,2,3,1,4th,,"Mirpur, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
2160,3,2,3,,4th,,"Mirpur, Dhaka, Bangladesh",1,"4,100.00৳",Apartment
