area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_sft,property_type
1640,2,3,3,1,7th,,"Kalabagan, Dhaka, Bangladesh",,"5,800.00৳",Apartment
1600,2,2,3,1,3rd,,"Adabor, Dhaka, Bangladesh",1,"85,00,000.00৳",Apartment
1410,2,4,3,1,1st,,"Chattogram City, Chattogram, Bangladesh",1,"8,000.00৳",Apartment
900,1,2,2,1,3rd,,"Kafrul, Dhaka, Bangladesh",,"4,200.00৳",Apartment
1230,2,3,3,1,5th,,"Mohammadpur , Dhaka, Bangladesh",1,"3,500.00৳",Apartment
1500,3,3,3,,4th,,"Sher E Bangla Nagar , Dhaka, Bangladesh",1,Negotiable,Apartment
550,1,,2,1,5th,,"Cumilla City, Cumilla, Bangladesh",,"3,990.00৳",Apartment
2190,2,3,5,,7th,,"Bashundhara RA, Dhaka, Bangladesh",,"6,000.00৳",Apartment
1100,1,3,3,1,5th,,"Banashree, Dhaka, Bangladesh",,"6,364.00৳",Apartment
1900,2,2,3,1,5th,,"Baridhara, Dhaka, Bangladesh",,"7,500.00৳",Apartment
1600,3,4,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,200.00৳",Apartment
1340,2,2,3,1,8th,,"Chattogram City, Chattogram, Bangladesh",1,"4,850.00৳",Apartment
1700,2,2,3,1,7th,,"Mirpur, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
2204,3,4,3,1,11th,,"New Market, Dhaka, Bangladesh",,"5,800.00৳",Apartment
1100,2,,3,1,1st,,"Savar, Dhaka, Bangladesh",1,"2,000.00৳",Apartment
1100,2,2,3,1,4th,,"Mirpur, Dhaka, Bangladesh",,"4,000.00৳",Apartment
1350,2,2,3,1,6th,,"Rampura, Dhaka, Bangladesh",1,"4,800.00৳",Apartment
1371,2,3,3,1,8th,,"Dhanmondi, Dhaka, Bangladesh",,"6,500.00৳",Apartment
2250,2,3,3,1,5th,,"Dhanmondi, Dhaka, Bangladesh",1,"14,000.00৳",Apartment
1200,2,3,3,1,7th,,"Mirpur, Dhaka, Bangladesh",,"5,000.00৳",Apartment
1500,2,3,3,,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Apartment
1250,1,2,3,1,5th,,"Chattogram City, Chattogram, Bangladesh",,Negotiable,Apartment
1450,2,,3,1,2nd,,"Chattogram City, Chattogram, Bangladesh",,Negotiable,Apartment
4700,4,4,5,1,10th,,"Dhanmondi, Dhaka, Bangladesh",3,"10,00,00,000.00৳",Apartment
1,2,2,4,1,9th,,"Bashundhara RA, Dhaka, Bangladesh",1,"14,00,00,000.00৳",Apartment
1692,3,3,3,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",1,"6,700.00৳",Apartment
2965,3,3,3,,5th,,"Gulshan 1, Dhaka, Bangladesh",1,"4,00,00,000.00৳",Apartment
1250,2,3,3,1,1st,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment
850,1,1,2,1,2nd,,"Daskhinkhan, Dhaka, Bangladesh",,"5,000.00৳",Apartment
1275,2,4,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"65,00,000.00৳",Apartment
950,1,1,2,1,4th,,"Mirpur, Dhaka, Bangladesh",,"4,000.00৳",Apartment
1750,2,2,3,1,2nd,,"Banani, Dhaka, Bangladesh",1,"10,500.00৳",Apartment
2094,3,3,3,1,4th,,"Mohammadpur , Dhaka, Bangladesh",1,"7,000.00৳",Apartment
1150,2,3,3,,8th,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment
1200,2,3,3,1,4th,,"Keraniganj, Dhaka, Bangladesh",15,"3,250.00৳",Apartment
1020,1,2,3,1,Ground,,"Mirpur, Dhaka, Bangladesh",,"45,00,000.00৳",Apartment
880,1,2,2,1,7th,,"Mirpur, Dhaka, Bangladesh",,"30,00,000.00৳",Apartment
1320,2,3,2,,8th,,"Baridhara, Dhaka, Bangladesh",,"6,200.00৳",Apartment
850,1,,2,1,2nd,,"Badda, Dhaka, Bangladesh",,"45,00,000.00৳",Apartment
1000,1,2,3,1,3rd,,"Keraniganj, Dhaka, Bangladesh",,"3,100.00৳",Apartment
1350,2,2,3,1,7th,,"Badda, Dhaka, Bangladesh",1,"75,00,000.00৳",Apartment
1250,1,1,2,1,6th,,"Mirpur, Dhaka, Bangladesh",,"4,500.00৳",Apartment
1085,1,,2,1,2nd,,"Cantonment, Dhaka, Bangladesh",,"4,150.00৳",Apartment
1200,2,2,3,1,10th,,"Kalabagan, Dhaka, Bangladesh",,"9,000.00৳",Apartment
750,1,1,2,1,2nd,,"Kalabagan, Dhaka, Bangladesh",,"35,00,000.00৳",Apartment
1450,2,3,3,1,4th,,"Baridhara, Dhaka, Bangladesh",1,"10,000.00৳",Apartment
1088,2,2,3,1,6th,,"Daskhinkhan, Dhaka, Bangladesh",1,"38,00,000.00৳",Apartment
1400,2,3,3,1,1st,,"Kalabagan, Dhaka, Bangladesh",,"1,10,00,000.00৳",Apartment
877,1,,2,2,10th,,"Badda, Dhaka, Bangladesh",,"55,00,000.00৳",Apartment
2160,3,3,4,1,5th,,"Tejgaon, Dhaka, Bangladesh",1,"11,580.00৳",Apartment
1230,2,3,3,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",,"3,500.00৳",Apartment
1300,1,2,3,1,3rd,,"Keraniganj, Dhaka, Bangladesh",,"2,200.00৳",Apartment
1700,1,,2,1,3rd,,"Narayanganj, Narayanganj, Bangladesh",,"3,500.00৳",Apartment
900,2,3,3,1,1st,,"Badda, Dhaka, Bangladesh",,"4,800.00৳",Apartment
1204,3,3,2,1,Ground,,"Khilgaon, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
870,1,1,2,1,7th,,"Badda, Dhaka, Bangladesh",,"40,00,000.00৳",Apartment
2300,3,4,4,1,2nd,,"Rampura, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1150,2,2,3,1,4th,,"Banashree, Dhaka, Bangladesh",1,"4,350.00৳",Apartment
1388,2,,3,1,7th,,"Rampura, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
781,1,1,2,1,3rd,,"Badda, Dhaka, Bangladesh",,"35,00,000.00৳",Apartment
1315,2,3,4,1,3rd,,"Rampura, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1220,2,2,3,1,15th,,"Paltan, Dhaka, Bangladesh",,"7,000.00৳",Apartment
850,1,3,2,1,3rd,,"Khilgaon, Dhaka, Bangladesh",1,"5,294.00৳",Apartment
2036,2,,3,1,1st,,"Dhanmondi, Dhaka, Bangladesh",,"21,000.00৳",Apartment
1995,2,3,3,1,3rd,,"Dhanmondi, Dhaka, Bangladesh",,"20,000.00৳",Apartment
1495,2,3,3,1,4th,,"Banashree, Dhaka, Bangladesh",1,"4,300.00৳",Apartment
1180,2,2,3,1,7th,,"Tejgaon, Dhaka, Bangladesh",,"70,00,000.00৳",Apartment
1400,3,1,3,1,8th,,"Bashundhara RA, Dhaka, Bangladesh",1,"5,800.00৳",Apartment
1450,3,3,3,1,Ground,,"Shyamoli, Dhaka, Bangladesh",1,"3,700.00৳",Apartment
1430,2,,3,1,6th,,"Rampura, Dhaka, Bangladesh",,"4,500.00৳",Apartment
1200,2,4,3,1,Ground,,"Banani, Dhaka, Bangladesh",,"5,800.00৳",Apartment
1160,2,1,2,1,6th,,"DOHS Mirpur, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
910,1,1,2,1,2nd,,"Daskhinkhan, Dhaka, Bangladesh",1,"4,102.00৳",Apartment
1395,2,4,3,1,3rd,,"Rampura, Dhaka, Bangladesh",1,"58,00,000.00৳",Apartment
1490,2,2,3,1,Ground,,"Narayanganj, Narayanganj, Bangladesh",,"3,692.00৳",Apartment
1800,2,2,5,1,4th,,"Banashree, Dhaka, Bangladesh",1,"3,666.00৳",Apartment
1050,2,2,3,,7th,,"Uttara East, Dhaka, Bangladesh",,"5,000.00৳",Apartment
1500,2,2,3,1,3rd,,"Badda, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1150,2,3,3,1,6th,,"Khilgaon, Dhaka, Bangladesh",,"4,400.00৳",Apartment
1320,2,3,3,1,6th,,"Rampura, Dhaka, Bangladesh",1,"4,621.00৳",Apartment
1250,1,1,3,1,2nd,,"Adabor, Dhaka, Bangladesh",1,"5,050.00৳",Apartment
1500,2,2,3,1,9th,,"Shyamoli, Dhaka, Bangladesh",1,Negotiable,Apartment
1050,1,2,3,1,4th,,"Badda, Dhaka, Bangladesh",,"65,00,000.00৳",Apartment
1000,1,2,3,1,5th,,"Rampura, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1850,2,3,3,1,3rd,,"Banashree, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
2672,2,3,4,1,10th,,"Dhanmondi, Dhaka, Bangladesh",1,"3,70,00,000.00৳",Apartment
1150,1,2,3,1,3rd,,"Banashree, Dhaka, Bangladesh",,"4,500.00৳",Apartment
1150,3,2,3,,5th,,"Rampura, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1050,2,2,3,,6th,,"Uttara East, Dhaka, Bangladesh",,"5,000.00৳",Apartment
1150,1,1,3,1,7th,,"Rampura, Dhaka, Bangladesh",,"5,000.00৳",Apartment
900,1,2,2,1,7th,,"Rampura, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1512,2,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",,"5,621.00৳",Apartment
1940,3,1,3,,3rd,,"Rampura, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1050,1,3,3,1,5th,,"Kalabagan, Dhaka, Bangladesh",,"7,000.00৳",Apartment
1385,2,2,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1150,1,2,3,1,5th,,"Kallaynpur, Dhaka, Bangladesh",,"4,200.00৳",Apartment
3024,,3,4,4,4th,,"Ramna, Dhaka, Bangladesh",2,"12,269.00৳",Apartment
2250,3,4,4,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1462,2,3,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1368,1,2,3,1,3rd,,"Rampura, Dhaka, Bangladesh",,"6,500.00৳",Apartment
1224,1,2,3,1,8th,,"Chattogram City, Chattogram, Bangladesh",,"4,500.00৳",Apartment
296600,1,1,1,1,Ground,,"Chattogram City, Chattogram, Bangladesh",1,"7,000.00৳",Apartment
2349,3,3,3,1,14th,,"Baridhara, Dhaka, Bangladesh",1,"2,30,00,000.00৳",Apartment
1115,1,2,3,1,6th,,"Banashree, Dhaka, Bangladesh",,"3,800.00৳",Apartment
1435,2,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",,"7,317.07৳",Apartment
1900,2,3,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"6,875.00৳",Apartment
1350,2,3,3,1,7th,,"Rampura, Dhaka, Bangladesh",,"4,600.00৳",Apartment
1100,1,2,3,1,5th,,"Kafrul, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
790,1,2,2,1,5th,,"Badda, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1300,3,3,3,,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1250,2,2,3,1,Ground,,"Mirpur, Dhaka, Bangladesh",2,"4,000.00৳",Apartment
1800,2,2,3,1,3rd,,"Ramna, Dhaka, Bangladesh",1,"10,000.00৳",Apartment
1655,2,3,3,1,3rd,,"Airport, Dhaka, Bangladesh",,"5,900.00৳",Apartment
2450,3,3,2,,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1450,3,4,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"8,276.00৳",Apartment
2400,4,3,4,,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1220,2,2,3,1,4th,,"Keraniganj, Dhaka, Bangladesh",1,"44,00,000.00৳",Apartment
850,2,2,2,,6th,,"Badda, Dhaka, Bangladesh",1,"4,705.88৳",Apartment
2050,3,3,3,1,5th,,"Ramna, Dhaka, Bangladesh",1,"10,800.00৳",Apartment
1500,2,3,3,1,4th,,"Mirpur, Dhaka, Bangladesh",1,"70,00,000.00৳",Apartment
1600,2,3,4,1,4th,,"Banashree, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
955,2,1,3,1,4th,,"Uttara West, Dhaka, Bangladesh",,"65,00,000.00৳",Apartment
4350,4,4,5,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,600.00৳",Apartment
1500,2,3,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,000.00৳",Apartment
1550,2,4,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1250,2,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"6,800.00৳",Apartment
1050,2,3,2,1,4th,,"Uttara West, Dhaka, Bangladesh",,"5,714.00৳",Apartment
1500,1,,3,,Ground,,"Rajshahi City, Rajshahi, Bangladesh",,"5,667.00৳",Apartment
1050,2,2,3,1,3rd,,"Banashree, Dhaka, Bangladesh",1,"3,790.00৳",Apartment
3500,5,3,4,1,2nd,,"Gulshan 2, Dhaka, Bangladesh",2,"19,696.97৳",Apartment
1220,3,3,3,,1st,,"Keraniganj, Dhaka, Bangladesh",1,"3,700.00৳",Apartment
1300,2,2,3,1,10th,,"New Market, Dhaka, Bangladesh",,"5,000.00৳",Apartment
3418,3,4,3,1,8th,,"Gulshan 2, Dhaka, Bangladesh",2,"25,000.00৳",Apartment
1040,2,2,3,1,2nd,,"Badda, Dhaka, Bangladesh",,"4,000.00৳",Apartment
1870,2,3,3,1,8th,,"Uttara West, Dhaka, Bangladesh",1,"5,900.00৳",Apartment
650,1,1,2,1,5th,,"Mirpur, Dhaka, Bangladesh",,"25,00,000.00৳",Apartment
1,,,2,1,2nd,,"Shyamoli, Dhaka, Bangladesh",,Negotiable,Apartment
2033,2,2,3,1,13th,,"Uttara West, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1200,2,2,3,1,14th,,"Dhanmondi, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1625,2,2,3,1,7th,,"Kalabagan, Dhaka, Bangladesh",1,"1,10,50,000.00৳",Apartment
1280,2,2,3,1,7th,,"Mohammadpur , Dhaka, Bangladesh",,"5,000.00৳",Apartment
1605,2,2,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",,"7,500.00৳",Apartment
1090,1,2,3,1,2nd,,"Badda, Dhaka, Bangladesh",,"4,50,00,000.00৳",Apartment
1350,1,3,3,1,11th,,"Mohammadpur , Dhaka, Bangladesh",,"3,710.00৳",Apartment
1264,2,2,3,1,2nd,,"Shyamoli, Dhaka, Bangladesh",,"88,48,000.00৳",Apartment
1100,1,3,3,1,5th,,"Mohammadpur , Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1200,1,2,3,1,2nd,,"Daskhinkhan, Dhaka, Bangladesh",1,"4,200.00৳",Apartment
1170,3,1,2,1,7th,,"Daskhinkhan, Dhaka, Bangladesh",,"4,000.00৳",Apartment
1850,2,,3,1,3rd,,"Dhanmondi, Dhaka, Bangladesh",1,"9,000.00৳",Apartment
950,2,2,3,1,5th,,"Daskhinkhan, Dhaka, Bangladesh",,"3,800.00৳",Apartment
1600,3,4,3,1,2nd,,"Badda, Dhaka, Bangladesh",1,"4,000.00৳",Apartment
1600,3,4,4,1,5th,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment
1050,2,2,3,1,3rd,,"Daskhinkhan, Dhaka, Bangladesh",1,"3,900.00৳",Apartment
700,2,2,2,1,3rd,,"Tejgaon, Dhaka, Bangladesh",,"5,300.00৳",Apartment
1465,3,3,3,,6th,,"Dhanmondi, Dhaka, Bangladesh",,"5,460.75৳",Apartment
1347,2,3,3,1,8th,,"Badda, Dhaka, Bangladesh",1,"4,010.00৳",Apartment
873,1,3,2,1,6th,,"Shahjahanpur, Dhaka, Bangladesh",2,"5,700.00৳",Apartment
790,2,2,2,,5th,,"Badda, Dhaka, Bangladesh",,"32,00,000.00৳",Apartment
1500,3,3,3,1,5th,,"Purbachal, Dhaka, Bangladesh",,Negotiable,Apartment
1530,3,2,3,,2nd,,"Ramna, Dhaka, Bangladesh",1,"1,30,00,000.00৳",Apartment
1050,2,1,2,,4th,,"Mirpur, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1650,4,3,3,1,5th,,"Dhanmondi, Dhaka, Bangladesh",1,"12,200.00৳",Apartment
1150,2,3,3,1,4th,,"Paltan, Dhaka, Bangladesh",1,"8,700.00৳",Apartment
1725,3,3,3,,5th,,"Dhanmondi, Dhaka, Bangladesh",1,"11,600.00৳",Apartment
1180,2,3,3,1,3rd,,"Gazipur Sadar, Gazipur, Bangladesh",,Negotiable,Apartment
850,1,2,2,1,8th,,"Dhanmondi, Dhaka, Bangladesh",,"5,200.00৳",Apartment
1000,2,1,3,1,9th,,"Mirpur, Dhaka, Bangladesh",,"3,500.00৳",Apartment
1385,2,2,3,,5th,,"Mirpur, Dhaka, Bangladesh",,"6,250.00৳",Apartment
1650,2,2,3,1,6th,,"Badda, Dhaka, Bangladesh",1,"4,300.00৳",Apartment
1340,3,3,3,1,2nd,,"Badda, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
2000,4,3,3,1,3rd,,"Baridhara, Dhaka, Bangladesh",1,"8,500.00৳",Apartment
1400,2,3,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1788,2,2,3,1,6th,,"Mohammadpur , Dhaka, Bangladesh",1,"9,700.00৳",Apartment
1300,2,2,3,1,5th,,"Badda, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1250,2,3,3,1,5th,,"Farmgate, Dhaka, Bangladesh",,"6,700.00৳",Apartment
1090,2,2,3,1,2nd,,"Badda, Dhaka, Bangladesh",,Negotiable,Apartment
1489,,,3,3,6th,,"Rajshahi City, Rajshahi, Bangladesh",,"4,000.00৳",Apartment
750,1,2,2,1,4th,,"Kalabagan, Dhaka, Bangladesh",,"5,067.00৳",Apartment
1900,3,3,5,1,9th,,"Paltan, Dhaka, Bangladesh",1,"1,70,00,000.00৳",Apartment
1800,3,2,4,1,5th,,"Kafrul, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1530,3,2,4,1,3rd,,", , ",,"4,500.00৳",Apartment
1175,2,2,3,1,4th,,"Badda, Dhaka, Bangladesh",1,"6,050.00৳",Apartment
1750,2,2,3,,3rd,,"Mohammadpur , Dhaka, Bangladesh",1,"6,000.00৳",Apartment
3000,2,3,3,1,4th,,"Gulshan 2, Dhaka, Bangladesh",2,"4,00,00,000.00৳",Apartment
1150,2,2,3,1,5th,,"Tejgaon, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1880,3,3,3,1,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,000.00৳",Apartment
1000,1,,3,1,1st,,"Keraniganj, Dhaka, Bangladesh",,"3,500.00৳",Apartment
1080,1,2,3,1,6th,,"Banashree, Dhaka, Bangladesh",,"3,704.00৳",Apartment
1000,1,3,3,1,2nd,,"Badda, Dhaka, Bangladesh",,"6,500.00৳",Apartment
1250,1,2,3,1,1st,,"Basabo, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
2200,5,5,3,,1st,,"Dhanmondi, Dhaka, Bangladesh",1,"2,50,00,000.00৳",Apartment
1150,2,2,3,1,7th,,"Tejgaon, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1030,1,1,2,1,6th,,"Tejgaon, Dhaka, Bangladesh",,"4,500.00৳",Apartment
1300,3,,3,,5th,,"Motijheel, Dhaka, Bangladesh",,"5,000.00৳",Apartment
814,1,,2,1,4th,,"Motijheel, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
2280,2,3,3,1,1st,,"Dhanmondi, Dhaka, Bangladesh",1,"2,50,00,000.00৳",Apartment
1650,3,1,3,1,6th,,"Dhanmondi, Dhaka, Bangladesh",1,"15,152.00৳",Apartment
1400,2,2,3,1,2nd,,"Farmgate, Dhaka, Bangladesh",1,"7,800.00৳",Apartment
2150,5,4,4,1,6th,,"Uttara East, Dhaka, Bangladesh",1,"6,200.00৳",Apartment
950,1,2,2,1,6th,,"Rampura, Dhaka, Bangladesh",1,Negotiable,Apartment
452,1,2,2,,8th,,"Banashree, Dhaka, Bangladesh",,"4,000.00৳",Apartment
1000,1,3,3,1,4th,,"Badda, Dhaka, Bangladesh",,"4,500.00৳",Apartment
1250,2,2,3,1,7th,,"Shyamoli, Dhaka, Bangladesh",1,"4,800.00৳",Apartment
950,1,2,2,1,8th,,"Rampura, Dhaka, Bangladesh",1,Negotiable,Apartment
970,2,1,2,1,6th,,"Badda, Dhaka, Bangladesh",,"5,200.00৳",Apartment
994,1,2,3,1,4th,,"Banashree, Dhaka, Bangladesh",,"5,000.00৳",Apartment
1172,2,2,3,1,3rd,,"Khilkhet, Dhaka, Bangladesh",1,Negotiable,Apartment
1700,3,2,3,1,8th,,"Kalabagan, Dhaka, Bangladesh",1,"10,600.00৳",Apartment
2700,2,1,3,1,9th,,"Shyamoli, Dhaka, Bangladesh",1,"4,000.00৳",Apartment
906,1,2,3,1,2nd,,"Khilkhet, Dhaka, Bangladesh",1,Negotiable,Apartment
2000,3,3,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",1,"20,000.00৳",Apartment
2100,2,2,4,1,5th,,"Banashree, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
760,1,2,2,1,4th,,"Badda, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
2900,3,,3,1,6th,,"Dhanmondi, Dhaka, Bangladesh",3,Negotiable,Apartment
1700,2,2,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
2000,3,3,3,1,9th,,"Banashree, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
2710,3,2,3,1,10th,,"Dhanmondi, Dhaka, Bangladesh",2,"22,200.00৳",Apartment
5250,4,3,4,1,1st,,"Baridhara, Dhaka, Bangladesh",2,"12,50,00,000.00৳",Apartment
1250,2,2,3,1,3rd,,"Malibagh, Dhaka, Bangladesh",1,"6,400.00৳",Apartment
950,1,2,2,1,7th,,"Banashree, Dhaka, Bangladesh",,"4,800.00৳",Apartment
1900,3,3,3,1,6th,,"Moghbazar, Dhaka, Bangladesh",1,Negotiable,Apartment
1875,2,3,3,1,2nd,,"Moghbazar, Dhaka, Bangladesh",1,Negotiable,Apartment
1600,3,5,3,1,Ground,,"Ramna, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
3600,5,6,4,1,2nd,,"Banashree, Dhaka, Bangladesh",1,"8,400.00৳",Apartment
887,1,1,3,1,5th,,"Rampura, Dhaka, Bangladesh",,"3,608.00৳",Apartment
980,1,2,2,1,3rd,,"Mirpur, Dhaka, Bangladesh",,"4,082.00৳",Apartment
7000,5,,5,,5th,,"Gulshan 2, Dhaka, Bangladesh",,Negotiable,Apartment
1000,1,3,3,1,6th,,"Banashree, Dhaka, Bangladesh",,"42,00,000.00৳",Apartment
1155,3,2,3,1,4th,,"Banashree, Dhaka, Bangladesh",1,"5,200.00৳",Apartment
1174,1,1,2,1,5th,,"Tejgaon, Dhaka, Bangladesh",1,"8,500.00৳",Apartment
1630,5,4,4,1,4th,,"Dhanmondi, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1875,2,2,4,1,2nd,,"Sylhet City, Sylhet, Bangladesh",1,"8,000.00৳",Apartment
1500,3,,3,1,5th,,", , ",1,"5,300.00৳",Apartment
960,2,3,2,1,4th,,"Adabor, Dhaka, Bangladesh",1,"5,300.00৳",Apartment
1150,1,2,3,1,8th,,"Sher E Bangla Nagar , Dhaka, Bangladesh",,"4,770.00৳",Apartment
1650,3,3,3,1,4th,,"Uttara East, Dhaka, Bangladesh",1,"7,900.00৳",Apartment
1200,2,3,3,1,3rd,,", , ",1,"8,500.00৳",Apartment
1200,1,1,2,1,9th,,", , ",,"5,600.00৳",Apartment
2538,5,4,4,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"12,500.00৳",Apartment
1050,1,3,3,1,4th,,"Dhanmondi, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1100,2,2,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",1,"8,200.00৳",Apartment
1520,2,3,3,1,7th,,"Mohammadpur , Dhaka, Bangladesh",,"82,00,000.00৳",Apartment
1311,2,,3,1,7th,,"Rampura, Dhaka, Bangladesh",,"60,00,000.00৳",Apartment
1450,3,2,4,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,931.00৳",Apartment
1095,1,1,2,1,7th,,"Farmgate, Dhaka, Bangladesh",1,"9,200.00৳",Apartment
950,1,2,2,1,3rd,,"Motijheel, Dhaka, Bangladesh",1,"6,400.00৳",Apartment
1550,2,2,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1326,2,2,3,1,3rd,,"Khilkhet, Dhaka, Bangladesh",,"5,500.00৳",Apartment
1150,1,3,3,1,5th,,"Kafrul, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
815,1,1,2,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",,"4,908.00৳",Apartment
1050,2,2,3,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",1,Negotiable,Apartment
1450,3,2,3,1,2nd,,"Kallaynpur, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
873,2,,2,3,7th,,"Badda, Dhaka, Bangladesh",,"5,598.00৳",Apartment
750,1,1,2,1,6th,,"Khilgaon, Dhaka, Bangladesh",,"5,000.00৳",Apartment
720,1,1,3,1,5th,,"New Market, Dhaka, Bangladesh",,"3,300.00৳",Apartment
775,1,2,2,1,2nd,,"Chattogram City, Chattogram, Bangladesh",,"2,968.00৳",Apartment
900,1,2,2,1,8th,,"Khilgaon, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1050,2,2,3,,3rd,,"Malibagh, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1250,2,2,3,1,6th,,"Adabor, Dhaka, Bangladesh",,"5,200.00৳",Apartment
1200,2,2,3,1,8th,,"Rampura, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
2000,3,3,3,,2nd,,"Farmgate, Dhaka, Bangladesh",1,"80,00,000.00৳",Apartment
1303,1,1,3,1,10th,,"Kotwali, Dhaka, Bangladesh",,"5,000.00৳",Apartment
775,1,2,2,1,2nd,,"Chattogram City, Chattogram, Bangladesh",,"2,968.00৳",Apartment
3685,4,4,4,1,3rd,,"Baridhara, Dhaka, Bangladesh",1,"26,000.00৳",Apartment
675,1,2,2,1,2nd,,"Khilgaon, Dhaka, Bangladesh",,"4,200.00৳",Apartment
1509,3,2,3,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",1,"8,284.00৳",Apartment
1650,2,3,3,1,9th,,"Badda, Dhaka, Bangladesh",,"6,000.00৳",Apartment
1500,2,2,3,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",1,"4,400.00৳",Apartment
1100,3,1,3,,7th,,"Dhanmondi, Dhaka, Bangladesh",1,"4,200.00৳",Apartment
1000,2,1,2,1,8th,,"Dhanmondi, Dhaka, Bangladesh",1,"4,000.00৳",Apartment
1270,2,2,3,1,5th,,"Banashree, Dhaka, Bangladesh",1,"5,354.00৳",Apartment
5200,4,2,4,,1st,,"Baridhara, Dhaka, Bangladesh",2,Negotiable,Apartment
725,2,1,2,1,3rd,,"Kallaynpur, Dhaka, Bangladesh",,"6,000.00৳",Apartment
