area,floor,location,parking,price_per_month,price_per_sft,property_type,total_floor,,
1490,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"9,300.00৳",Commercial Space,14,,
1530,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle ,,Negotiable,Commercial Space,14,,
1585,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
1485,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,Negotiable,Commercial Space,14,,
R/ Shopping Square,10th,"Bashundhara RA, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,17569,,
5045,3rd,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,Negotiable,Commercial Space,14,,
4990,3rd,"Bashundhara RA, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,14,,
5345,3rd,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,Negotiable,Commercial Space,14,,
6315,3rd,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,Negotiable,Commercial Space,14,,
5045,4th,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,"1,700.00৳",Commercial Space,14,,
4950,3rd,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,Negotiable,Commercial Space,14,,
R/ Shopping Square,12th,"Bashundhara RA, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,10189,,
4480,3rd,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,Negotiable,Commercial Space,14,,
3570,3rd,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,Negotiable,Commercial Space,14,,
4475,4th,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,"1,700.00৳",Commercial Space,14,,
6310,4th,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,"1,700.00৳",Commercial Space,14,,
1305,10th,"Badda, Dhaka, Bangladesh",Rupayan Housing Estate Limited,,Negotiable,Commercial Space,13,,
2298,6th,"Mirpur, Dhaka, Bangladesh",Rupayan Housing Estate Limited,,Negotiable,Commercial Space,14,,
1445,7th,"Badda, Dhaka, Bangladesh",Rupayan Housing Estate Limited,,Negotiable,Commercial Space,13,,
950,5th,"Kafrul, Dhaka, Bangladesh",Rupayan Housing Estate Limited,,Negotiable,Commercial Space,9,,
622,3rd,"Malibagh, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,14,,
1926,3rd,"Bashundhara RA, Dhaka, Bangladesh",Rupayan Shopping Square,,"25,000.00৳",Commercial Space,13,,
2620,8th,"Mirpur, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,14,,
2632,9th,"Mirpur, Dhaka, Bangladesh",Rupayan Housing Estate Limited,,Negotiable,Commercial Space,14,,
2205,5th,"Mirpur, Dhaka, Bangladesh",Rupayan Housing Estate Limited,,Negotiable,Commercial Space,14,,
3575,12th,"Mirpur, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,14,,
3523,11th,"Mirpur, Dhaka, Bangladesh",Rupayan Housing Estate Limited,,Negotiable,Commercial Space,14,,
8600,3rd,"Dhanmondi, Dhaka, Bangladesh",6,,"9,400.00৳",Commercial Space,15,,
4480,4th,"Bashundhara RA, Dhaka, Bangladesh",Rupayan Platinum Square,,"18,000.00৳",Commercial Space,13,,
3500,16th,"Dhanmondi, Dhaka, Bangladesh",1,,"12,000.00৳",Commercial Space,18,,
2150,14th,"Banglamotor, Dhaka, Bangladesh",1,,"7,500.00৳",Commercial Space,2,,
1430,2nd,"Kafrul, Dhaka, Bangladesh",Rupayan Housing Estate Limited,,Negotiable,Commercial Space,9,,
5800,Ground,"Khulna City, Khulna, Bangladesh","22  Helatala Rd, Khulna, Bangladesh",,Negotiable,Commercial Space,2,,
2200,7th,"Paltan, Dhaka, Bangladesh",Zaman Tower,,"11,500.00৳",Commercial Space,16,,
1200,1st,"Banani, Dhaka, Bangladesh",1,,"20,000.00৳",Commercial Space,12,,
1405,13th,"Gulshan 2, Dhaka, Bangladesh",1,,"8,500.00৳",Commercial Space,20,,
1913,2nd,"Kafrul, Dhaka, Bangladesh",Rupayan Housing Estate Limited,,Negotiable,Commercial Space,9,,
2700,5th,"Rangpur City, Rangpur, Bangladesh",AKHTAR MANSION,,"20,000.00৳",Commercial Space,3,,
6500,3rd,"Daskhinkhan, Dhaka, Bangladesh",Rupali Garden,,Negotiable,Commercial Space,8,,
1300,1st,"Chattogram City, Chattogram, Bangladesh",Ready,,35.00৳,Commercial Space,2,,
1200,2nd,"Shahjahanpur, Dhaka, Bangladesh",1,,"10,000.00৳",Commercial Space,2,,
4,4th,"Gulshan 2, Dhaka, Bangladesh",Genetic Baro Bahuiyan,,"30,000.00৳",Commercial Space,6340,,
600,4th,"Gulshan 2, Dhaka, Bangladesh",highway homes,,"8,000.00৳",Commercial Space,1,,
Tropical Razia Palace,1st,"Ramna, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,1075,,
4500,1st,"Motijheel, Dhaka, Bangladesh",city center ,,"25,000.00৳",Commercial Space,1,,
13000,3rd,"Paltan, Dhaka, Bangladesh",RUPAYAN FPAB TOWER,,"20,000.00৳",Commercial Space,14,,
528,4th,"Patuakhali Sadar, Patuakhali, Bangladesh",1,,"1,80,000.00৳",Commercial Space,10,,
4738,10th,"Banglamotor, Dhaka, Bangladesh",Ready,,"18,000.00৳",Commercial Space,10,,
11641,16th,"Banglamotor, Dhaka, Bangladesh",RUPAYAN TRADE CENTER,,"21,500.00৳",Commercial Space,20,,
4900,14th,"Mohakhali, Dhaka, Bangladesh",1,,"25,000.00৳",Commercial Space,18,,
4051,6th,"Khulna City, Khulna, Bangladesh",Ready,,"6,000.00৳",Commercial Space,4,,
46200,2nd,"Gazipur Sadar, Gazipur, Bangladesh",konabari space,,"6,000.00৳",Commercial Space,7,,
20000,3rd,"Savar, Dhaka, Bangladesh",1,,Negotiable,Commercial Space,1,,
Ready,Ground,"Kakrail, Dhaka, Bangladesh",Raw,,"5,350.00৳",Commercial Space,5350,,
2200,13th,"Paltan, Dhaka, Bangladesh",Ready,,"13,000.00৳",Commercial Space,3,,
2610,7th,"Banani, Dhaka, Bangladesh",1,,"25,000.00৳",Commercial Space,14,,
1480,5th,"Kafrul, Dhaka, Bangladesh",1,,"7,000.00৳",Commercial Space,7,,
Ready,2nd,"Kakrail, Dhaka, Bangladesh",Raw,,"18,000.00৳",Commercial Space,2674,,
1,2nd,"Kakrail, Dhaka, Bangladesh",Ready,,"15,000.00৳",Commercial Space,2688,,
1250,5th,"Ramna, Dhaka, Bangladesh",TMC Building,,Negotiable,Commercial Space,9,,
Ready,2nd,"Kakrail, Dhaka, Bangladesh",Raw,,"15,000.00৳",Commercial Space,5400,,
1,11th,"Kalabagan, Dhaka, Bangladesh",Ready,,"18,000.00৳",Commercial Space,4738,,
Ready,Ground,"Paltan, Dhaka, Bangladesh",Raw,,"30,000.00৳",Commercial Space,1352,,
2600,10th,"Mirpur, Dhaka, Bangladesh",Ready,,"8,300.00৳",Commercial Space,1,,
1022,10th,"Kakrail, Dhaka, Bangladesh",1,,"15,000.00৳",Commercial Space,14,,
2000,13th,"Tongi, Dhaka, Bangladesh",Ready,,"3,500.00৳",Commercial Space,12,,
3000,14th,"Banani, Dhaka, Bangladesh",4,,"25,000.00৳",Commercial Space,14,,
