air_conditioning,area,balcony,building_type,cctv,central_heating,elevator,emergency_stairs,fitness_center,floor,garage,garden,generator,government_gas,interior,land_size,location,num_balcony,num_bath_rooms,num_bed_rooms,parking,pets_allow,price,property_link,reception,security,servant_room,status,swimming_pool,tv_cable,unit,wifi,year_built
,892 sqft,,Apartment,Y,,Y,,,2nd,,,Y,,Un-Furnished,7 katha,"Aftabnagar,",2,2,2,Y,," ৳5,500,000 ",https://iqibd.com/properties/71,,Y,,For Sale,,Y,A2,,2023
Y,1320 sqft,,Apartment,Y,,Y,,,"1st, 6th, 8th",1,,Y,,Un-Furnished,,"Rampura,",2,3,3,Y,," ৳8,250,000 ",https://iqibd.com/properties/58,,Y,,For Sale,,Y,"C1, C6, C8",Y,2023
Y,800 sqft,,Apartment,Y,,Y,,,"2nd,4th,6th,7th",1,,Y,,Un-Furnished,2.5 katha,"Badda,",3,2,2,Y,," ৳6,000,000 ",https://iqibd.com/properties/57,,Y,No,For Sale,,Y,"2B,4A,4B,6B,7A,7B",Y,2022
Y,1330 sqft,,Apartment,Y,,Y,,,"1st, 6th, 8th",1,,Y,,Un-Furnished,,"Rampura,",2,3,3,Y,," ৳8,300,000 ",https://iqibd.com/properties/59,,Y,,For Sale,,Y,"B1, B6, B8",Y,2023
Y,2250 sqft,,Apartment,Y,,Y,Y,,4th,,,Y,,Un-Furnished,5.25 Katha,"Bangla Motor,",4,4,4,Y,," ৳29,225,000 ",https://iqibd.com/properties/62,Y,Y,Yes,For Sale,,Y,4A,Y,2022
,1250 sqft,,Apartment,Y,,Y,Y,,"1st, 8th",1,,Y,,Un-Furnished,,"Rampura,",2,3,3,Y,," ৳7,900,000 ",https://iqibd.com/properties/60,,Y,,For Sale,,Y,"A1, A8",Y,2023
Y,1750 sqft,,Apartment,Y,,Y,,,1st & 2nd,1,,Y,,Un-Furnished,3 Katha,"Bashundhara,",3,4,4,Y,," ৳14,500,000 ",https://iqibd.com/properties/61,,Y,No,For Sale,,Y,1st & 2nd,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/45,Y,Y,No,For Sale,,,Single,Y,2022
Y,1350 sqft,,Apartment,Y,,Y,,,7th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/56,,Y,No,For Sale,,Y,7B,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,7th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/46,Y,Y,No,For Sale,,,Single,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,8th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/47,Y,Y,No,For Sale,,,Single,Y,2022
,1200 sqft,,Apartment,Y,,Y,,,1st,1,,Y,,Un-Furnished,6 katha,"Aftabnagar,",,3,3,Y,," ৳7,500,000 ",https://iqibd.com/properties/48,,Y,,For Sale,,,1B,Y,2022
,1100 sqft,,Apartment,Y,,Y,,,3rd,1,,Y,,Un-Furnished,,"Mirpur,",2,3,3,Y,," ৳8,000,000 ",https://iqibd.com/properties/49,,Y,,For Sale,,,3C,Y,2022
,1530 sqft,,Apartment,Y,,Y,,,2nd,1,,Y,,Un-Furnished,3 katha,"Bashundhara,",3,4,3,Y,," ৳13,500,000 ",https://iqibd.com/properties/50,,Y,,For Sale,,,2A,Y,2023
Y,1300 sqft,,Apartment,Y,,Y,,,7th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/52,,Y,No,For Sale,,,7A & 7B,Y,2022
Y,1300 sqft,,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/51,Y,Y,No,For Sale,,,5A & 5B,Y,2022
Y,1300 sqft,,Apartment,Y,,Y,,,3rd,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/53,,Y,No,For Sale,,,3B,Y,2022
Y,1350 sqft,,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/54,,Y,No,For Sale,,,A5,Y,2022
Y,1350 sqft,,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/55,,Y,No,For Sale,,Y,B5,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,3rd,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/42,Y,Y,No,For Sale,,,Single,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/44,Y,Y,No,For Sale,,,Single,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/43,Y,Y,No,For Sale,,,Single,Y,2022
,2500 sqft,,Apartment,Y,,Y,Y,Y,4th,1,,Y,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳29,500,000 ",https://iqibd.com/properties/36,Y,Y,Yes,For Sale,Y,,D4,,2012
,2339 sqft,,Apartment,Y,,Y,Y,Y,5th,1,,Y,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳27,729,000 ",https://iqibd.com/properties/37,Y,Y,Yes,For Sale,Y,,A5,,2012
,2339 sqft,,Apartment,Y,,Y,Y,Y,6th,1,,Y,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳27,729,000 ",https://iqibd.com/properties/38,Y,Y,Yes,For Sale,Y,,A6,,2012
,2513 sqft,,Apartment,Y,,Y,Y,Y,4th,1,,,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳29,643,000 ",https://iqibd.com/properties/35,,Y,Yes,For Sale,Y,,C4,,2012
,2513 sqft,Y,Apartment,Y,,Y,Y,Y,5th,1,,Y,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳29,643,000 ",https://iqibd.com/properties/39,Y,Y,Yes,For Sale,Y,,C5,,2012
,3685 sqft,,Apartment,Y,,Y,Y,Y,3rd,,,Y,,Un-Furnished,,"Baridhara,",5,5,4,Y,," ৳90,000,000 ",https://iqibd.com/properties/40,Y,Y,Yes,For Sale,Y,,Single,Y,2022
,1750 sqft,,Apartment,Y,,Y,,,4th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,4,Y,," ৳15,000,000 ",https://iqibd.com/properties/41,Y,Y,No,For Sale,,,Single,Y,2022
