Amenities,Bathroom,Bed,Description,Location,PricePerMonth,PropertyType,Size,Status,url
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,1 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"A 1651 Sqft luxury ready flat for sale in Chittagong West Khulshi,,The flat has 100 Sqft of car parking.,Details of flat: 3 Beds, 3 Baths, Veranda, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Convention Hall, Reception Room and Car Parking.","1/1 warles, west khulshi",8000000,Apartment,1651 Sqft,Out of Stock,https://www.bdstall.com/details/chittagong-west-khulshi-1651-sqft-ready-flat-74306/
"1 year ago,Bangladesh,New Apartment,1,1,3,1,1,1,1",,,"This apartment will be a single unit and will have a 6-storey building height with a basement. It has community halls with separate prayer rooms, seating arrangements, sky court, modern elevator, and generator, indoor and outdoor for children's play. You will get 40% open space all the time.","Plot# 710, Road# 15, Block# K, Bashundhara R/A",11500000,Apartment,1575 Square Feet,Out of Stock,https://www.bdstall.com/details/bashundhara-south-face-1575-sft-apartment-71445/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 dining,3 Veranda,1 Kitchen,Yes,Yes,Yes",5 Bathroom,4 Bed,"Ready flat of 2400 Sqft will be sold in Chittagong Panchlaish,with one car parking.,Details of the flat: 4 Beds, 5 Baths, 3 Veranda, Drawing, Dining, Kitchen.,Building Details: Elevator, Stairs, Generator, Intercom, Reception room, Prayer room, Driver waiting room, Rooftop, Good quality materials and Car parking.", Panchlaish,20000000,Apartment,2400  Sqft,Out of Stock,https://www.bdstall.com/details/chittagong-panchlaish-2400-sqft-ready-apartment-74368/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,2 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"West Rampura Ulon Road 1300 Sqft of land will be sold.,Plot: 23 Katha,A total of 90 shares,10 storey building (G + 9),Details of the flat: 3 beds, 3 baths, 2 balconies, drawing, dining, kitchen.,Building Details: Elevator, Stairs, Generator, Intercom, Community Hall, Guardroom, Gym and Car Parking.","Ulon Road, West  Rampura",2300000,Apartment,1300 Sqft,Out of Stock,https://www.bdstall.com/details/west-rampura-ulon-road-1300-sqft-apartment-land-share-72402/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,1 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Almost Ready flat of 1200 Sqft will be sold on West Rampura Ulon Road.,Only 1 flat to be sold (6th Floor),Details of the flat: 3 beds, 3 baths, veranda, drawing, dining, kitchen.,Building Details: Elevator, Stairs, Generator, Intercom, Reception Room and Car Parking.","Ulon Road, West Rampura",6000000,Apartment,1200 Sqft,Out of Stock,https://www.bdstall.com/details/west-rampura-ulon-road-1200-sqft-apartment-sale-73007/
"11 months ago,Bangladesh,Used Apartment,1 Drawing,1 Dining,2 Veranda,1 Kitchen,Yes,Yes,Yes",2 Bathroom,2 Bed,"Near Faraji Hospital in Banasree G block a 950 Sqft used flat for 8 years will be sold on the 3rd floor of the 7th-floor building.,** Have a valid gas connection **,Plot: 3.5 Katha (south-facing flat),2 units on each floor.,Details of flat:  2 beds, 2 baths, 2 balconies, drawing, dining, kitchen.,Building Details: Elevator, Stairs, Generator, Intercom, Reception Room and Car Parking.","G Block , Banasree",5000000,Apartment,950 Sqft,Out of Stock,https://www.bdstall.com/details/banasree-g-block-950-sqft-used-apartment-sale-73533/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,2 Veranda,1 Kitchen,Yes,Yes,Yes",2 Bathroom,3 Bed,"One 1450 Sqft flat will be sold on the 4th floor of the South Banasree 6th floor building adjacent to Hatirjheel, the heart of the capital Dhaka.,North facing flat (20 feet south-facing building),Details of flat: 3 beds, 2 baths, 2 balconies, drawing, dining, kitchen.,Building Details: Attractive interior design, Elevator, Stairs, Generator, Reception room.",South Banasree B Block,6500000,Apartment,1450 Sqft,Out of Stock,https://www.bdstall.com/details/south-banasree-1450-sqft-ready-apartment-sale-73010/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,1 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Ready flats of 1300 Sqft will be sold in the Chittagong Chawkbazar area.,Details of flat: 3 Beds, 3 Baths, Veranda, Drawing, Dining, Kitchen.,Building Details: Elevators, Stairs, Generator, Intercom, Convention Hall, Reception Room and Car Parking.",chawkbazar,6500000,Apartment,1300 Sqft,Out of Stock,https://www.bdstall.com/details/chittagong-chawkbazar-1300-sqft-ready-apartment-74317/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,2/3 Veranda,1 Kithcen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1400 sqft flats and 100 sqft shops will be sold along the Rampura Staff Quarters Highway opposite the Banasree Meradia M block. There is 1 car parking with a share price.,Plot: 85 Katha,Total 403 flats,Building 17 storeys (basement and G + 16),Details of the flat: 3 beds, 3 baths, 2/3 veranda, drawing, dining, kitchen.,Building Details: Elevator, Stairs Generator, Gymnasium, Swimming Pool, Mosque, Gas, Electricity & All-Time Security, Sophisticated Market, Library, Spacious Community Space, Reception Room & Car Parking.","Banasree M Block, Rampura",1800000,Apartment,1400 Sqft Apartment &100 Sqft Shop,Out of Stock,https://www.bdstall.com/details/banasree-commercial-residential-land-shares-71962/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,3 Veranda,1 Kitchen,Yes,Yes,Yes",4 Bathroom,4 Bed,"Ready flats  2150 Sqft will be sold in the F-block of Bashundhara, one of the main attractions of Dhaka.,Plot: 4 Katha,Details of flat: 4 Beds, 4 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building details:  Elevator, Stairs, Generator, Intercom, Security, Reception Room and Car Parking.",F Block,16500000,Apartment,2150  Sqft,Out of Stock,https://www.bdstall.com/details/bashundhara-f-block-2150-sqft-ready-flat-74166/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,2 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,,"A ready flat of 1430 Sqft will be sold in Chittagong Chandanpur.,Details of flat: 3 Beds, 3 Baths, Veranda, Drawing, Dining, Kitchen.,Building Details: Elevators, Stairs, Generator, Intercom, Convention hall, Reception room and Car parking.",Chandanpur,7000000,Apartment,1430 Sqft,Out of Stock,https://www.bdstall.com/details/chittagong-chandanpur-1430-sqft-ready-apartment-74387/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dinning,3 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1350 sqft of land will be sold at Green Model Town, Mugda near Motijheel, the main commercial area of ​​the capital.,Plot: 9.92 Katha (Corner Plot),4 units on each floor,10 storey building (basement and G + 9),Details of the flat: 3 beds, 3 bathrooms, 3 verandas, drawing, dining, kitchen.,Building Details: Elevator, Stairs, CCTV Camera, Generator, Reception Room and Car Parking.,The share price of the land has to be paid at one time 15 lakh fifty thousand takas. Land shares will be registered in your name. The rest of the money will have to be paid according to the progress of the estimated 22 lakh works. The work will be completed in 2.5 years. Flats and parking will be distributed through a lottery.","Green Model Town, Mugda",1550000,Apartment,1350 Sqft,Out of Stock,https://www.bdstall.com/details/near-motijheel-1350-sqft-apartment-land-share-71886/
"11 months ago,Bangladesh,Used Apartment,1 Drawing,1 Dining,3 Veranda,1 Kitchen,Yes,Yes,Yes",4 Bathroom,4 Bed,"Near Faraji Hospital in Banasree G Block, an 1800 Sqft 8-year used flat will be sold on the 3rd floor of the 7th-floor building.,** Have Valid Gas Connection**,Plot: 3.5 Katha (South facing flat ),2 units on each floor,Details of the flat: 4 Beds, 4 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details:  Elevators, Stairs, Generator, Intercom, Convention Hall, Reception Room and Car Parking.",G Block,10000000,Apartment,1800 Sqft,Out of Stock,https://www.bdstall.com/details/banasree-near-faraji-hospital-1800-sqft-used-apartment-73665/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,1 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"A ready flat on the 7th floor of 1650 Sqft with interior decoration will be sold in Chittagong  Askardighi.,Details of the flat: 3 Beds, 3 Baths, Veranda, Drawing, Dining, Kitchen.,Building Details: Elevator, Stairs, Generator, Intercom, Reception room and Car parking.",Askardighi.,10200000,Apartment,1650 Sqft,Out of Stock,https://www.bdstall.com/details/chittagong-askardighi-1650-sqft-nice-ready-flat-74373/
