amenities,area,building_type,location,num_bath_rooms,num_bed_rooms,price,purpose
Balcony or Terrace##Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Parking Spaces##: 1##Floor Level##Elevators in Building##: 2##Electricity Backup##Freehold##View##Lobby in Building##Flooring##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,230 sqft",Apartment,"East Shewrapara, Mirpur, Dhaka",3 Beds,3 Beds,74 Lakh,For Sale
View##Floor Level##Flooring##Parking Spaces##: 1##View##Floor Level##Flooring##Parking Spaces##: 1##Elevators in Building##: 1##Balcony or Terrace##CCTV Security,"1,035 sqft",Apartment,"Sector 12, Uttara, Dhaka",3 Beds,3 Beds,72 Lakh,For Sale
Floor Level##Flooring##Parking Spaces##: 1##View##Floor Level##Lobby in Building##Double Glazed Windows##Flooring##Elevators in Building##: 1##Parking Spaces##: 1##View##Balcony or Terrace##Electricity Backup##Maintenance Staff,"1,560 sqft",Apartment,"Block H, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.2 Crore,For Sale
View##Floor Level##Parking Spaces##: 1##Balcony or Terrace##View##Lobby in Building##Floor Level##Parking Spaces##: 1##Balcony or Terrace##Double Glazed Windows##Electricity Backup##Flooring##Elevators in Building##: 1##Maintenance Staff,"1,700 sqft",Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.4 Crore,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Double Glazed Windows##24 Hours Concierge##Balcony or Terrace##Lobby in Building##Waste Disposal##Flooring##Freehold##Floor Level##CCTV Security##Maintenance Staff##Cleaning Services,850 sqft,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,80 Lakh,For Sale
Balcony or Terrace##View##Flooring##Floor Level##Lobby in Building##Elevators in Building##: 1##Electricity Backup##Balcony or Terrace##Waste Disposal##View##Flooring##24 Hours Concierge##Floor Level##Cleaning Services,"2,150 sqft",Apartment,"Block I, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.65 Crore,For Sale
Floor Level##Parking Spaces##: 1##View##Balcony or Terrace##Floor Level##Elevators in Building##: 1##Freehold##Parking Spaces##: 1##24 Hours Concierge##View##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Central Heating##Electricity Backup##Flooring##Intercom##CCTV Security##Maintenance Staff,"1,342 sqft",Apartment,"Block B, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.5 Crore,For Sale
Flooring##View##Floor Level##Parking Spaces##: 1##Flooring##Freehold##View##Service Elevators##Floor Level##Electricity Backup##Elevators in Building##: 1##Waste Disposal##Parking Spaces##: 1##Broadband Internet##Intercom##ATM Facility##CCTV Security##Cleaning Services##Maintenance Staff,"2,600 sqft",Apartment,"O R Nizam Road Residential Area, Nasirabad, 15 No. Bagmoniram Ward, Chattogram",4 Beds,4 Beds,1.85 Crore,For Sale
Balcony or Terrace##Floor Level##Flooring##View##Balcony or Terrace##Floor Level##Flooring##View##Broadband Internet##Maintenance Staff##Cleaning Services,"1,500 sqft",Apartment,"Proshanti R/A, 10 No. North Kattali Ward, Chattogram",3 Beds,3 Beds,65 Lakh,For Sale
Floor Level##Flooring##View##Balcony or Terrace##Electricity Backup##Floor Level##Flooring##View##Balcony or Terrace##Elevators in Building##: 1##CCTV Security##Maintenance Staff,"1,280 sqft",Apartment,"Block B, Rahman Nagar, Nasirabad, Bayazid, Chattogram",3 Beds,3 Beds,74 Lakh,For Sale
Floor Level##View##Parking Spaces##: 1##Balcony or Terrace##Freehold##Floor Level##Service Elevators##Double Glazed Windows##View##Central Heating##Parking Spaces##: 1##Balcony or Terrace##Flooring##Elevators in Building##: 1##Lobby in Building##24 Hours Concierge##Intercom##CCTV Security##Maintenance Staff,"2,080 sqft",Apartment,"Block B, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.85 Crore,For Sale
Floor Level##View##Flooring##Balcony or Terrace##Floor Level##View##Flooring##Balcony or Terrace##Lobby in Building##Broadband Internet,"1,400 sqft",Apartment,"7 No. West Sholoshohor Ward, Chattogram",3 Beds,3 Beds,63 Lakh,For Sale
View##Parking Spaces##: 7##Balcony or Terrace##Flooring##View##Parking Spaces##: 7##Lobby in Building##Balcony or Terrace##Flooring##Electricity Backup##CCTV Security##Maintenance Staff##Cleaning Services,"13,300 sqft",Building,"Rose Valley Residential Area, 9 No. North Pahartali Ward, Chattogram",21 Beds,21 Beds,10.5 Crore,For Sale
Flooring##Balcony or Terrace##Floor Level##View##Flooring##Balcony or Terrace##Electricity Backup##Floor Level##Lobby in Building##View##Furnished##Parking Spaces##: 1##CCTV Security##Cleaning Services##Maintenance Staff,"1,500 sqft",Apartment,"East Nasirabad, Chattogram",3 Beds,3 Beds,95 Lakh,For Sale
Floor Level##Flooring##View##Balcony or Terrace##Freehold##Floor Level##Flooring##View##Balcony or Terrace##Broadband Internet##Cleaning Services,"1,660 sqft",Apartment,"CDA Residential Area, South Agrabad, Double Mooring, Chattogram",3 Beds,3 Beds,65 Lakh,For Sale
Parking Spaces##: 1##Floor Level##Balcony or Terrace##View##Parking Spaces##: 1##Double Glazed Windows##24 Hours Concierge##Floor Level##Service Elevators##Electricity Backup##Balcony or Terrace##Lobby in Building##Elevators in Building##: 2##View##Flooring##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,600 sqft",Apartment,"Section 2, Mirpur, Dhaka",3 Beds,3 Beds,95 Lakh,For Sale
Balcony or Terrace##View##Flooring##Floor Level##Elevators in Building##: 1##Balcony or Terrace##Lobby in Building##24 Hours Concierge##View##Flooring##Double Glazed Windows##Electricity Backup##Floor Level##Waste Disposal##Maintenance Staff##Cleaning Services,"1,300 sqft",Apartment,"South Badda, Badda, Dhaka",3 Beds,3 Beds,78 Lakh,For Sale
Flooring##View##Parking Spaces##: 1##Electricity Backup##Flooring##View##Electricity Backup##Parking Spaces##: 1##Intercom,"1,517 sqft",Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.1 Crore,For Sale
View##Flooring,"1,600 sqft",Apartment,"Lake Valley R/A, 9 No. North Pahartali Ward, Chattogram",3 Beds,3 Beds,72 Lakh,For Sale
Parking Spaces##: 1##View##Flooring##Electricity Backup##Parking Spaces##: 1##View##Flooring##Electricity Backup##Intercom##Maintenance Staff##Cleaning Services,"1,450 sqft",Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,95 Lakh,For Sale
View##Flooring##Parking Spaces##: 1##Electricity Backup##View##Flooring##Electricity Backup##Parking Spaces##: 1##Intercom##Maintenance Staff##Cleaning Services,"1,466 sqft",Apartment,"Sector 13, Uttara, Dhaka",3 Beds,3 Beds,1.2 Crore,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Central Heating##Electricity Backup##Flooring##Freehold##Floor Level##Lobby in Building##Double Glazed Windows##Elevators in Building##: 1##Broadband Internet##Intercom##Business Center##ATM Facility##Conference Room##CCTV Security##Maintenance Staff##Cleaning Services,"1,850 sqft",Apartment,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,1.15 Crore,For Sale
Floor Level##Flooring##Balcony or Terrace##Parking Spaces##: 1##Floor Level##Lobby in Building##Waste Disposal##Flooring##Elevators in Building##: 1##Balcony or Terrace##Parking Spaces##: 1##Electricity Backup##View##Broadband Internet##Cleaning Services,"1,180 sqft",Apartment,"Block B, Aftab Nagar, Dhaka",3 Beds,3 Beds,80 Lakh,For Sale
View##Parking Spaces##: 1##Flooring##Electricity Backup##Electricity Backup##Elevators in Building##: 1##View##Parking Spaces##: 1##Flooring##Intercom##Cleaning Services##Maintenance Staff,"1,720 sqft",Apartment,"Sector 11, Uttara, Dhaka",3 Beds,3 Beds,1.3 Crore,For Sale
Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Electricity Backup##Parking Spaces##: 1##Lobby in Building##Elevators in Building##: 1##Flooring##View##Balcony or Terrace##Broadband Internet##Intercom##Lawn or Garden##Maintenance Staff##Cleaning Services,"2,226 sqft",Apartment,"Block C, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.2 Crore,For Sale
Parking Spaces##: 1##Balcony or Terrace##View##Flooring##Electricity Backup##Lobby in Building##Waste Disposal##Elevators in Building##: 1##Parking Spaces##: 1##Balcony or Terrace##View##Flooring##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,000 sqft",Apartment,"Madhya Ajampur, Dakshin Khan, Dhaka",2 Beds,2 Beds,45 Lakh,For Sale
View##Flooring##Parking Spaces##: 1##Electricity Backup##View##Electricity Backup##Flooring##Parking Spaces##: 1##Intercom##CCTV Security##Maintenance Staff,"1,579 sqft",Apartment,"Sector 3, Uttara, Dhaka",3 Beds,3 Beds,1.46 Crore,For Sale
Parking Spaces##: 1##Balcony or Terrace##Flooring##View##Parking Spaces##: 1##Balcony or Terrace##Flooring##View##Freehold##Broadband Internet##Lawn or Garden##Maintenance Staff##Cleaning Services,"1,440 sqft",Apartment,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",3 Beds,3 Beds,73 Lakh,For Sale
Flooring##View##Parking Spaces##: 1##Electricity Backup##Electricity Backup##Flooring##View##Parking Spaces##: 1##Intercom##CCTV Security##Maintenance Staff,"1,290 sqft",Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,90 Lakh,For Sale
Parking Spaces##: 1##View##Flooring##Balcony or Terrace##Parking Spaces##: 1##Lobby in Building##View##Flooring##Elevators in Building##: 1##Waste Disposal##Balcony or Terrace##Electricity Backup##Freehold##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,320 sqft",Apartment,"East Azampur, Dakshin Khan, Dhaka",3 Beds,3 Beds,50 Lakh,For Sale
View##Flooring##Intercom##Maintenance Staff##View##Flooring##Intercom##Maintenance Staff##Cleaning Services,948 sqft,Apartment,"Sector 11, Uttara, Dhaka",2 Beds,2 Beds,70 Lakh,For Sale
View##Parking Spaces##: 1##Flooring##Balcony or Terrace##Double Glazed Windows##View##Parking Spaces##: 1##Electricity Backup##Flooring##Balcony or Terrace##Lobby in Building##Elevators in Building##: 2##Intercom##Lawn or Garden##CCTV Security##Maintenance Staff,"2,222 sqft",Apartment,"Block C, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.25 Crore,For Sale
View##Balcony or Terrace##Parking Spaces##: 6##Flooring##Elevators in Building##: 1##View##Balcony or Terrace##Parking Spaces##: 6##Flooring##CCTV Security##Maintenance Staff,"1,400 sqft",Apartment,"Gulbag R/A, Star Housing Society, Kulgaon, Bayazid, Chattogram",3 Beds,3 Beds,60 Lakh,For Sale
View##Floor Level##Balcony or Terrace##Flooring##View##Freehold##Floor Level##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 1##Broadband Internet##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,850 sqft,Apartment,"Rupnagar R/A, Mirpur, Dhaka",2 Beds,2 Beds,52 Lakh,For Sale
View##Floor Level##Parking Spaces##: 1##Balcony or Terrace##Lobby in Building##View##Electricity Backup##Floor Level##Parking Spaces##: 1##Balcony or Terrace##Flooring##CCTV Security##Cleaning Services##Maintenance Staff,"1,650 sqft",Apartment,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,1.35 Crore,For Sale
View##Balcony or Terrace##Flooring##Intercom##View##Balcony or Terrace##Flooring##Intercom##Broadband Internet,"2,484 sqft",Apartment,"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",4 Beds,4 Beds,1.5 Crore,For Sale
Flooring##Balcony or Terrace##View##Furnished##Freehold##Lobby in Building##Flooring##Balcony or Terrace##Double Glazed Windows##View##Electricity Backup##Furnished##Parking Spaces##: 1##Intercom##Broadband Internet##ATM Facility##Cleaning Services##Shared Kitchen##Maintenance Staff,"2,000 sqft",Apartment,"9 No. North Pahartali Ward, Chattogram",3 Beds,3 Beds,1.05 Crore,For Sale
,"1,075 sqft",Apartment,"Uttar Badda, Badda, Dhaka",3 Beds,3 Beds,57 Lakh,For Sale
Balcony or Terrace##Flooring##View##Parking Spaces##: 1##Balcony or Terrace##Flooring##Electricity Backup##View##Lobby in Building##Waste Disposal##Elevators in Building##: 2##Parking Spaces##: 1##24 Hours Concierge##Floor Level##Double Glazed Windows##Broadband Internet##Lawn or Garden##CCTV Security##Maintenance Staff,"1,400 sqft",Apartment,"South Keraniganj, Keraniganj, Dhaka",3 Beds,3 Beds,67 Lakh,For Sale
Balcony or Terrace##Flooring##View##Cleaning Services##Balcony or Terrace##Flooring##View##Cleaning Services##Maintenance Staff,"1,030 sqft",Apartment,"4 No Chandgaon Ward, Chattogram",3 Beds,3 Beds,42 Lakh,For Sale
View##Flooring##Parking Spaces##: 1##Electricity Backup##Electricity Backup##View##Flooring##Parking Spaces##: 1##Intercom##Cleaning Services##Maintenance Staff,"1,517 sqft",Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.15 Crore,For Sale
Balcony or Terrace##Flooring##View##Freehold##Freehold##Balcony or Terrace##Flooring##Double Glazed Windows##View##Waste Disposal##Cleaning Services##Maintenance Staff,650 sqft,Apartment,"Block H, Section 2, Mirpur, Dhaka",2 Beds,2 Beds,30 Lakh,For Sale
Balcony or Terrace##View##Flooring##Elevators in Building##: 1##Elevators in Building##: 1##Freehold##Electricity Backup##Balcony or Terrace##View##Flooring##Broadband Internet##Intercom##Lawn or Garden##Maintenance Staff##Cleaning Services,665 sqft,Apartment,"East Kazipara, Mirpur, Dhaka",2 Beds,2 Beds,38 Lakh,For Sale
Balcony or Terrace##Flooring##View##Freehold##Balcony or Terrace##Flooring##Freehold##View##Broadband Internet##Cleaning Services,"1,350 sqft",Apartment,"Proshanti R/A, 10 No. North Kattali Ward, Chattogram",3 Beds,3 Beds,66 Lakh,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Lobby in Building##Flooring##Elevators in Building##: 1##Parking Spaces##: 1##Broadband Internet##Intercom##Lawn or Garden##Maintenance Staff##Cleaning Services,"1,450 sqft",Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.3 Crore,For Sale
View##Flooring##Balcony or Terrace##Parking Spaces##: 1##View##Flooring##Balcony or Terrace##Parking Spaces##: 1##Intercom##Broadband Internet,"2,410 sqft",Apartment,"15 No. Bagmoniram Ward, Chattogram",4 Beds,4 Beds,1.55 Crore,For Sale
Flooring##View##Balcony or Terrace##Broadband Internet,"1,452 sqft",Apartment,"15 No. Bagmoniram Ward, Chattogram",3 Beds,3 Beds,93 Lakh,For Sale
Floor Level##Flooring##Balcony or Terrace##Parking Spaces##: 1##Floor Level##Service Elevators##Flooring##Balcony or Terrace##Parking Spaces##: 1##Elevators in Building##: 1##View##24 Hours Concierge##Cleaning Services##Maintenance Staff,"1,870 sqft",Apartment,"South Badda, Badda, Dhaka",3 Beds,3 Beds,1.6 Crore,For Sale
View##Flooring##Balcony or Terrace##Electricity Backup##Electricity Backup##View##Flooring##Balcony or Terrace##Intercom##Broadband Internet,"2,400 sqft",Apartment,"Muradpur, Chattogram",4 Beds,4 Beds,1.42 Crore,For Sale
Flooring##Balcony or Terrace##View##Freehold##Flooring##Freehold##Balcony or Terrace##Lobby in Building##Elevators in Building##: 1##Electricity Backup##24 Hours Concierge##View##Conference Room##Intercom##Lawn or Garden##CCTV Security##Maintenance Staff##Cleaning Services,895 sqft,Apartment,"Section 2, Mirpur, Dhaka",2 Beds,2 Beds,45 Lakh,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Flooring##Freehold##Floor Level##24 Hours Concierge##Maintenance Staff##Cleaning Services,"1,200 sqft",Apartment,"East Shewrapara, Mirpur, Dhaka",2 Beds,2 Beds,78 Lakh,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Flooring##Freehold##24 Hours Concierge##Floor Level##Maintenance Staff##Cleaning Services,"1,200 sqft",Apartment,"East Shewrapara, Mirpur, Dhaka",2 Beds,2 Beds,78 Lakh,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Double Glazed Windows##Electricity Backup##Flooring##Elevators in Building##: 1##Floor Level##Parking Spaces##: 1##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,803 sqft",Apartment,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.85 Crore,For Sale
View##Flooring##Parking Spaces##: 1##Floor Level##View##Flooring##Elevators in Building##: 1##Electricity Backup##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Double Glazed Windows##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,722 sqft",Apartment,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.82 Crore,For Sale
View##Parking Spaces##: 1##Floor Level##Balcony or Terrace##View##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Electricity Backup##Flooring##Elevators in Building##: 1##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,920 sqft",Apartment,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.9 Crore,For Sale
Balcony or Terrace##Flooring##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Double Glazed Windows##Electricity Backup##Flooring##Parking Spaces##: 1##Floor Level##View##Elevators in Building##: 1##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,803 sqft",Apartment,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.85 Crore,For Sale
View##Balcony or Terrace##Floor Level##Flooring##View##Balcony or Terrace##Floor Level##Flooring##Elevators in Building##: 2##CCTV Security,"1,466 sqft",Apartment,"7 No. West Sholoshohor Ward, Chattogram",3 Beds,3 Beds,70 Lakh,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Flooring##Freehold##Floor Level##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,650 sqft,Apartment,"Rupnagar R/A, Mirpur, Dhaka",2 Beds,2 Beds,38 Lakh,For Sale
View##Balcony or Terrace##Flooring##Freehold##View##Balcony or Terrace##Flooring##Freehold##Broadband Internet##Lawn or Garden##Maintenance Staff##Cleaning Services,"9,900 sqft",Building,"East Kazipara, Mirpur, Dhaka",13 Beds,13 Beds,4.5 Crore,For Sale
Floor Level##Flooring##Parking Spaces##: 1##View##Elevators in Building##: 1##Floor Level##Flooring##Parking Spaces##: 1##View##Electricity Backup##Balcony or Terrace##CCTV Security##Maintenance Staff,"1,076 sqft",Apartment,"Sector 5, Uttara, Dhaka",3 Beds,3 Beds,1.1 Crore,For Sale
Flooring##View##Balcony or Terrace##Parking Spaces##: 1##Flooring##Elevators in Building##: 2##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Waste Disposal##Parking Spaces##: 1##Floor Level##Broadband Internet##CCTV Security##Cleaning Services,874 sqft,Apartment,"Balaka Residential Area, Bogar Bil, Shanti Nagar, 17 No West Bakalia Ward, Bakalia, Chattogram",2 Beds,2 Beds,48 Lakh,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Waste Disposal##Flooring##Elevators in Building##: 2##Lobby in Building##Electricity Backup##Parking Spaces##: 1##Floor Level##Broadband Internet##CCTV Security##Cleaning Services,874 sqft,Apartment,"Balaka Residential Area, Bogar Bil, Shanti Nagar, 17 No West Bakalia Ward, Bakalia, Chattogram",2 Beds,2 Beds,48 Lakh,For Sale
Flooring##View##Floor Level##Balcony or Terrace##Waste Disposal##24 Hours Concierge##Flooring##Elevators in Building##: 2##Freehold##View##Double Glazed Windows##Floor Level##Balcony or Terrace##Lobby in Building##Electricity Backup##Broadband Internet##Lawn or Garden##CCTV Security##Maintenance Staff,"1,350 sqft",Apartment,"Washpur, Keraniganj, Dhaka",3 Beds,3 Beds,57 Lakh,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##Electricity Backup##View##Balcony or Terrace##Lobby in Building##Waste Disposal##Flooring##Elevators in Building##: 2##Parking Spaces##: 1##Floor Level##Broadband Internet##CCTV Security##Cleaning Services,864 sqft,Apartment,"Balaka Residential Area, Bogar Bil, Shanti Nagar, 17 No West Bakalia Ward, Bakalia, Chattogram",2 Beds,2 Beds,48 Lakh,For Sale
Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Waste Disposal##Flooring##Elevators in Building##: 2##Broadband Internet##CCTV Security##Cleaning Services,864 sqft,Apartment,"Balaka Residential Area, Bogar Bil, Shanti Nagar, 17 No West Bakalia Ward, Bakalia, Chattogram",2 Beds,2 Beds,48 Lakh,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Waste Disposal##Flooring##Elevators in Building##: 2##Parking Spaces##: 1##Floor Level##Lobby in Building##Electricity Backup##Broadband Internet##CCTV Security##Cleaning Services,854 sqft,Apartment,"Balaka Residential Area, Bogar Bil, Shanti Nagar, 17 No West Bakalia Ward, Bakalia, Chattogram",2 Beds,2 Beds,48 Lakh,For Sale
View##Parking Spaces##: 1##Floor Level##Balcony or Terrace##View##Double Glazed Windows##Electricity Backup##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Flooring##Elevators in Building##: 1##Storage Areas##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,"2,154 sqft",Apartment,"Block I, Bashundhara R-A, Dhaka",4 Beds,4 Beds,2.23 Crore,For Sale
Flooring##View##Parking Spaces##: 1##Floor Level##Lobby in Building##Flooring##View##Electricity Backup##Parking Spaces##: 1##24 Hours Concierge##Floor Level##Double Glazed Windows##Elevators in Building##: 1##Balcony or Terrace##Freehold##Intercom##CCTV Security,"1,500 sqft",Apartment,"Shiddheswari, Dhaka",3 Beds,3 Beds,1.5 Crore,For Sale
Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Flooring##Double Glazed Windows##Elevators in Building##: 1##Floor Level##View##Electricity Backup##Parking Spaces##: 1##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"2,437 sqft",Apartment,"Block I, Bashundhara R-A, Dhaka",4 Beds,4 Beds,2.49 Crore,For Sale
Parking Spaces##: 1##View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Flooring##Elevators in Building##: 3##Lobby in Building##Floor Level##Cleaning Services,"1,250 sqft",Apartment,"Kallyanpur, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Lobby in Building##Flooring##Elevators in Building##: 2##Freehold##Floor Level##Electricity Backup##Parking Spaces##: 1##Intercom##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,200 sqft",Apartment,"Vashantek, Cantonment, Dhaka",3 Beds,3 Beds,70 Lakh,For Sale
Flooring##Balcony or Terrace##View##Floor Level##Waste Disposal##Elevators in Building##: 1##Flooring##Electricity Backup##24 Hours Concierge##Balcony or Terrace##Double Glazed Windows##View##Floor Level##Cleaning Services,"1,260 sqft",Apartment,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,70 Lakh,For Sale
View##Balcony or Terrace##Furnished##Parking Spaces##: 1##Lobby in Building##View##Balcony or Terrace##Freehold##24 Hours Concierge##Furnished##Parking Spaces##: 1##Double Glazed Windows##Flooring##Elevators in Building##: 1##Service Elevators##Floor Level##Prayer Room##Storage Areas##ATM Facility##Business Center##Broadband Internet##Intercom##Conference Room##Day Care Center##Barbeque Area##Lawn or Garden##First Aid Medical Center##Swimming Pool##CCTV Security##Cafeteria or Canteen##Cleaning Services##Maintenance Staff##Laundry Facility,"2,090 sqft",Apartment,"Block G, Niketan, Dhaka",3 Beds,3 Beds,2.6 Crore,For Sale
View##Flooring##Floor Level##Balcony or Terrace##View##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 1##24 Hours Concierge##Floor Level##Balcony or Terrace##Service Elevators##Parking Spaces##: 1##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,987 sqft",Apartment,"Paul Hill, Jamal Khan, Chattogram",3 Beds,3 Beds,1.59 Crore,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Double Glazed Windows##Elevators in Building##: 1##Electricity Backup##Flooring##Parking Spaces##: 1##Floor Level##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,600 sqft",Apartment,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.45 Crore,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 1##Service Elevators##Parking Spaces##: 1##24 Hours Concierge##Floor Level##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,670 sqft",Apartment,"Paul Hill, Jamal Khan, Chattogram",3 Beds,3 Beds,1.34 Crore,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Parking Spaces##: 1##24 Hours Concierge##Floor Level##Elevators in Building##: 1##Service Elevators##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,864 sqft",Apartment,"Paul Hill, Jamal Khan, Chattogram",3 Beds,3 Beds,1.49 Crore,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Double Glazed Windows##Waste Disposal##Flooring##Elevators in Building##: 2##Parking Spaces##: 1##Electricity Backup##24 Hours Concierge##Floor Level##Cleaning Services,"1,300 sqft",Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,90 Lakh,For Sale
Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 1##Parking Spaces##: 1##View##Floor Level##Maintenance Staff##Cleaning Services,"1,620 sqft",Apartment,"Sector 2, Block D, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.2 Crore,For Sale
View##Balcony or Terrace##Floor Level##Flooring##View##Balcony or Terrace##Electricity Backup##Elevators in Building##: 1##Floor Level##Double Glazed Windows##Flooring##Parking Spaces##: 1##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,550 sqft",Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.3 Crore,For Sale
Balcony or Terrace##Flooring##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Double Glazed Windows##Electricity Backup##Flooring##Elevators in Building##: 1##Parking Spaces##: 1##Floor Level##View##Storage Areas##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,950 sqft,Apartment,"Block J, Bashundhara R-A, Dhaka",2 Beds,2 Beds,95 Lakh,For Sale
View##Floor Level##Balcony or Terrace##Flooring##View##Freehold##24 Hours Concierge##Floor Level##Balcony or Terrace##Elevators in Building##: 1##Lobby in Building##Flooring##Parking Spaces##: 1##Service Elevators##Furnished##Double Glazed Windows##Prayer Room##Storage Areas##ATM Facility##Business Center##Broadband Internet##Conference Room##Intercom##First Aid Medical Center##Barbeque Area##Lawn or Garden##Swimming Pool##Day Care Center##CCTV Security##Cleaning Services##Maintenance Staff##Laundry Facility##Cafeteria or Canteen,"2,090 sqft",Apartment,"Block G, Niketan, Dhaka",3 Beds,3 Beds,2.6 Crore,For Sale
