address,apartment_facing,balcony,basement,bath,bed,building_facing,building_registration_type,common_area_size,features,floor,front_road_size,garage_size,gas,house_rules,interior,lift,nearby_landmark,parking,preferred_tenant,price,property_type,property_url,purpose,servant_room,servant_washroom,service_charge,size,title,total_units,unit,unit_per_floor,year_built
"Road - 11, Apartment Rent in Banani, Banani, Residential, Dhaka", West, 02,,03 Bathrooms,03 Bedrooms, West, Residential, 160 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",4th floor, 24 Ft,120 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 11,"
", Foreigner," BDT 100,000/-", Residential,https://rents.com.bd/property/banani-is-offering-you-a-2200-sq-ft-apartment-for-rent-2/,For Rent, 01, 01, BDT 8000/-,2200 Sq Ft,Banani Is Offering You A  2200 Sq Ft Apartment For Rent, 20 Units,, 02,2013
"Road 58, Apartment Rent in Gulshan, Residential, Dhaka", North, 02,,04 Bathrooms,03 Bedrooms, North, Residential, 250 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",1st floor, 24 Ft,120 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 58,"
", Foreigner," BDT 130,000/-", Residential,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-3300-sq-ft-apartment-is-vacant-for-rent-in-gulshan/,For Rent, 01, 01,"BDT 14,000/-",3300 Sq Ft,Spaciously Designed And Strongly Structured This 3300 SQ FT Apartment Is Vacant For Rent In Gulshan, 10,, 02,2010
"Road 8, Dhaka, Banani, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Banani, Dhaka",,,Basement 01,,, South Facing, Residential, 150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",4th floor, 20 Ft,120 Sq Ft,,, Un-Furnished,01 Available, Road 8,"
",," BDT 100,000/-",Residential cum Commercial,https://rents.com.bd/property/rarely-available-a-2350-sq-ft-commercial-space-is-up-for-rent-in-banani-with-satisfactory-price/,For Rent,,," BDT 10,000/-",2350 Sq Ft,Rarely Available A 2350 Sq Ft Commercial Space Is Up For Rent In Banani With Satisfactory Price., 10Units,, 02,2012
"Road 58, Apartment Rent in Gulshan, Residential, Dhaka", North, 03,,04 Bathrooms,04 Bedrooms, North, Residential, 250 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",3rd floor, 24 Ft,240 Sq Ft, Govt., Basic Rules,Un-Furnished,01, Road 58,"
", Foreigner," BDT 160,000/-", Residential,https://rents.com.bd/property/this-3300-sq-ft-amazing-apartment-is-available-for-rent-in-gulshan-2/,For Rent, 01, 01,N/A,3300 Sq Ft,This 3300 Sq. ft Amazing Apartment Is Available For Rent In Gulshan 2, 10,, 02,2010
"Road 63, Apartment Rent in Gulshan, Residential, Dhaka", South, 03,,03 Bathrooms,03 Bedrooms, South, Residential, 250 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",5th floor, 24 Ft,120 Sq Ft, Govt., Basic Rules,Un-Furnished,01, Road 63,"
", Foreigner," BDT 165,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-flat-of-3400-sq-ft-is-up-for-rent-is-situated-in-gulshan-2/,For Rent, 01, 01,"BDT 10,000/-",3400 Sq Ft,A Modern Well-planned Flat Of 3400 Sq Ft Is Up For Rent Is Situated In Gulshan 2, 10,, 02,2005
"Road - 60, Apartment Rent in Gulshan, Gulshan, Residential, Dhaka", South, 05,,05 Bathrooms,05 Bedrooms, South, Residential, 450 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",2nd floor, 24 Ft,240 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 60,"
", Foreigner," BDT 350,000/-", Residential,https://rents.com.bd/property/exclusive-5-bedrooms-apartment-of-5500-sq-ft-is-located-at-north-gulshan-available-for-rent/,For Rent, 01, 01," BDT 30,000/-",5500 Sq Ft,Exclusive 5 Bedrooms Apartment Of 5500 SQ FT Is Located At North Gulshan Available For Rent, 22 Units,, 02,2013
"Road 13, Dhaka, Banani, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Office Space Rent in Banani, Dhaka",,,Basement 01,,, North Facing, Residential, 150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",7th floor, 30 Ft,120 Sq Ft,,, Un-Furnished,01 Available, Road 13,"
",," BDT 100,000/-", Residential cum Commercial,https://rents.com.bd/property/a-modern-well-planned-office-space-of-2000-sq-ft-is-up-for-rent-is-situated-in-banani/,For Rent,,," BDT 10,000/-",2000 Sq Ft,A Modern Well-planned Office Space Of 2000 Sq Ft Is Up For Rent Is Situated In Banani, 08 Units,, 01,2022
"Road 12, Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", North, 04,,06 Bathrooms,05 Bedrooms, North, Residential, 350 Sq Ft,"24 hours CC TV coverage,Baridhara Park,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",1st floor, 20 Ft,240 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 12,"
", Foreigner," BDT 235,000/-", Residential,https://rents.com.bd/property/tastefully-designed-and-wonderful-flat-covering-an-area-of-4200-sq-ft-is-vacant-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01,N/A,4200 Sq Ft,Tastefully Designed And Wonderful Flat Covering An Area Of 4200 SQ FT Is Vacant For Rent In Baridhara Diplomatic Zone, 11,, 01,2014
"Road 18, Banani, Residential, Dhaka", South, N/A,,05 Bathrooms,05 Bedrooms, South, Residential, 250 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",1st floor, 16 Ft,120 Sq Ft, Govt., Basic Rules,Un-Furnished,N/A, Road 18,"
", Foreigner," BDT 270,000/-", Residential cum Commercial,https://rents.com.bd/property/stunning-views-with-quality-finishing-a-3500-sq-ft-full-building-is-up-for-rent-in-banani/,For Rent, 01, 01,N/A,3500 Sq Ft,Stunning Views With Quality Finishing A 3500 Sq Ft Full Building Is Up For Rent In Banani, Individual House,, 01,2000
"Kemal Ataturk Avenue, Furnished Apartment Rent in Banani, Residential, Dhaka", North, 02,,03 Bathrooms,03 Bedrooms, North, Residential, 180 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",2nd floor, 24 Ft,120 Sq Ft, Govt., Basic Rules,Furnished,01, Kemal Ataturk Avenue,"
", Foreigner," BDT 100,000/-", Residential,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2200-sq-ft-apartment-is-vacant-for-rent-in-banani/,For Rent, 01, 01,BDT 8000/-,2200 Sq Ft,Spaciously Designed And Strongly Structured This 2200 Sq. Ft Apartment Is Vacant For Rent In Banani, 10 Units,, 02,2008
"Road 11, Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", North, 04,,04 Bathrooms,04 Bedrooms, North, Residential, 450 Sq Ft,"24 hours CC TV coverage,Baridhara Park,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",4th floor, 20 Ft,240 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 11,"
", Foreigner," BDT 400,000/-", Residential,https://rents.com.bd/property/stunning-views-with-quality-finishing-a-6000-sq-ft-apartment-is-up-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01,N/A,6000 Sq Ft,Stunning Views With Quality Finishing A 6000 Sq Ft Apartment Is Up For Rent In Baridhara Diplomatic Zone, 11,, 01,2019
"Road 12, Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", North, 03,,04 Bathrooms,04 Bedrooms, North, Residential, 350 Sq Ft,"24 hours CC TV coverage,Baridhara Park,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",1st floor, 20 Ft,240 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 12,"
", Foreigner," BDT 180,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-flat-of-4200-sq-ft-is-up-for-rent-is-situated-in-baridhara-diplomatic-zone/,For Rent, 01, 01,"BDT 16,000/-",4200 Sq Ft,A Modern Well-planned Flat Of 4200 Sq Ft Is Up For Rent Is Situated In Baridhara Diplomatic Zone, 12,, 02,2017
"Gulshan 2 Circle, Apartment Rent in Gulshan, Residential, Dhaka", West, 04,,04 Bathrooms,04 Bedrooms, West, Residential, 350 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",4th floor, 16 Ft,240 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Gulshan 2 Circle,"
", Foreigner," BDT 160,000/-", Residential,https://rents.com.bd/property/we-bring-you-a-nice-spacious-residence-of-4400-sq-ft-for-rent-in-gulshan-2/,For Rent, 01, 01,"BDT 15,000/-",4400 Sq Ft,We Bring You A Nice & Spacious Residence Of 4400 Sq Ft For Rent In Gulshan 2, 16,, 02,2017
"Road 13, Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", North, 04,,04 Bathrooms,04 Bedrooms, North, Residential, 220 Sq Ft,"24 hours CC TV coverage,Baridhara Park,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",2nd floor, 20 Ft,120 Sq Ft, Govt., Basic Rules,Un-Furnished,01, Road 13,"
", Foreigner," BDT 140,000/-", Residential,https://rents.com.bd/property/wonderful-flat-covering-an-area-of-2775-sq-ft-is-available-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01,"BDT 12,000/-",2775 Sq Ft,Wonderful Flat Covering An Area Of 2775 Sq Ft Is Available For Rent In Baridhara Diplomatic Zone, 08,, 02,2018
"Kemal Ataturk Avenue, Apartment Rent in Banani, Residential, Dhaka", West, 03,,04 Bathrooms,04 Bedrooms, West, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",1st floor, 24 Ft,240 Sq Ft, Govt., Basic Rules,Un-Furnished,01, Kemal Ataturk Avenue,"
", Foreigner," BDT 120,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-brand-new-flat-of-2700-sq-ft-is-up-for-rent-is-situated-in-banani/,For Rent, 01, 01,"BDT 10,000/-",2700 Sq Ft,A Modern Well-planned Brand New Flat Of 2700 Sq Ft Is Up For Rent Is Situated In Banani, 08,, 01,2022
"Gulshan Avenue, Apartment Rent in Gulshan, Residential, Dhaka", North, 03,,04 Bathrooms,04 Bedrooms, North, Residential, 260 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",3rd floor, 24 Ft,240 Sq Ft, Govt., Basic Rules,Semi-Furnished,02, Gulshan Avenue,"
", Foreigner," BDT 160,000/-", Residential,https://rents.com.bd/property/stunning-luxury-home-of-3400-sq-ft-in-the-prestigious-community-of-gulshan-2-is-up-for-rent/,For Rent, 01, 01,"BDT 18,000/-",3400 Sq Ft,"Stunning Luxury Home Of 3400 Sq Ft In The Prestigious Community Of Gulshan 2, Is Up For Rent", 15,, 03,2010
"Road - 12, Apartment Rent in Gulshan, Residential, Dhaka", North, 03,,03 Bathrooms,03 Bedrooms, North, Residential, 160 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",1st floor, 16 Ft,120 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 12,"
", Foreigner," BDT 100,000/-", Residential,https://rents.com.bd/property/lovely-apartment-of-2200-sq-ft-is-up-for-rent-in-gulshan-1/,For Rent, 01, 01,"BDT 11,000/-",2200 Sq Ft,Lovely Apartment Of 2200 Sq Ft Is Up For Rent In Gulshan 1, 20 Units,, 02,2022
"Road - 10, Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", North, 03,,04 Bathrooms,04 Bedrooms, North, Residential, 300 Sq Ft,"24 hours CC TV coverage,Baridhara Park,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",1st floor, 16 Ft,240 Sq Ft, Govt., Basic Rules,Furnished,01, Road 10,"
", Foreigner," BDT 530,000/-", Residential,https://rents.com.bd/property/luxurious-fully-furnished-apartment-of-3300-sq-ft-now-available-for-rent-in-baridhara-diplomatic-zone-2/,For Rent, 01, 01," 20,000/-",3300 Sq Ft,Luxurious Fully Furnished Apartment Of 3300 Sq Ft Now Available For Rent In Baridhara Diplomatic Zone, 09 Units,, 01,2022
"Road 10, Dhaka, Banani, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Banani, Dhaka",,,Basement 02,,, South Facing, Commercial, 350 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",4th floor, 30 Ft,120 Sq Ft,,, Un-Furnished,01 Available, Road 10,"
",," BDT 10,00,000/- (BDT 250/- per Sq Ft.)",Commercial,https://rents.com.bd/property/excellent-commercial-space-of-4000-sq-ft-is-up-for-rent-in-the-fine-location-of-banani/,For Rent,,, N/A,4000 Sq Ft,Excellent Commercial Space Of 4000 Sq Ft Is Up For Rent In The Fine Location Of Banani, 06 Units,, 01,2022
"Road - 103, Apartment Rent in Gulshan, Residential, Dhaka", North, 02,,04 Bathrooms,04 Bedrooms, North, Residential, 180 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",2nd floor, 24 Ft,240 Sq Ft, Govt., Basic Rules,Un,01, Road 103,"
", Foreigner," BDT 105,000/-", Residential,https://rents.com.bd/property/get-this-2800-sq-ft-wonderful-flat-in-gulshan-2-is-available-for-rent/,For Rent, 01, 01,"10,000/-",2800 Sq Ft,Get This 2800 Sq Ft Wonderful Flat In Gulshan 2 Is Available For Rent, 10 Units,, 02,2005
"Road 91, Dhaka, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Gulshan, Gulshan, Dhaka",,,Basement 02,,, West Facing, Commercial, 350 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",14th floor, 20 Ft,120 Sq Ft,,, Un-Furnished,02 Available, Road 91,"
",," BDT 600,000/-",Commercial,https://rents.com.bd/property/stunning-views-with-quality-finishing-a-4100-sq-ft-commercial-space-is-up-for-rent-in-gulshan-2/,For Rent,,, N/A,4100 Sq Ft,Stunning Views With Quality Finishing A 4100 Sq Ft Commercial Space Is Up For Rent In Gulshan 2, 14 Units,, 01,2019
"Road - 12, Apartment Rent in Gulshan, Residential, Dhaka", North, 03,,03 Bathrooms,03 Bedrooms, North, Residential, 160 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",1st floor, 16 Ft,120 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 12,"
", Foreigner," BDT 100,000/-", Residential,https://rents.com.bd/property/gulshan-is-offering-you-a-brand-new-2200-sq-ft-apartment-for-rent/,For Rent, 01, 01," BDT 11,000/-",2200 Sq Ft,Gulshan Is Offering You A Brand New  2200 Sq Ft Apartment For Rent, 20 Units,, 02,2022
"Road - 7, Apartment Rent in Gulshan, Residential, Dhaka", North, 03,,03 Bathrooms,03 Bedrooms, North, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",4th floor, 16 Ft,120 Sq Ft, Govt., Basic Rules,Furnished,01, Road 7,"
", Foreigner," BDT 100,000/-", Residential,https://rents.com.bd/property/in-the-prominent-location-of-gulshan-this-beautiful-fully-furnished-apartment-is-waiting-for-rent/,For Rent, 01, 01,"10,000/-",2200 Sq Ft,"In the Prominent Location Of Gulshan, This Beautiful Fully Furnished Apartment Is Waiting For Rent", 10 Units,, 02,2000
"Road - 12, Apartment Rent in Gulshan, Residential, Dhaka", North, 03,,04 Bathrooms,04 Bedrooms, North, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",9th floor, 16 Ft,120 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 12,"
", Foreigner," BDT 110,000/-", Residential,https://rents.com.bd/property/uniquely-designed-2200-sq-ft-flat-is-up-for-rent-in-gulshan-1/,For Rent, 01, 01,"BDT 11,000/-",2200 Sq Ft,Uniquely Designed 2200 Sq Ft Flat Is Up For Rent In Gulshan 1, 14 Units,, 01,2022
"Road - 12, Apartment Rent in Gulshan, Residential, Dhaka", North, 04,,03 Bathrooms,03 Bedrooms, North, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",2nd floor, 16 Ft,120 Sq Ft, Govt., Basic Rules,Un-Furnished,02, Road 12,"
", Foreigner," BDT 105,000/-", Residential,https://rents.com.bd/property/tastefully-designed-and-brand-new-2100-sq-ft-home-now-vacant-for-rent-in-gulshan/,For Rent, 01, 01,BDT 9000/-,2100 Sq Ft,Tastefully Designed And Brand New 2100 SQ FT Home Now Vacant For Rent In Gulshan, 20 Units,, 02,2022
"Banani, Dhaka, Banani, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Banani, Dhaka",,,Basement 02,,, North Facing, Commercial, 150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",3rd floor, 30 Ft,120 Sq Ft,,, Un-Furnished,01 Available, Road 10,"
",," BDT 330,000/- (BDT 150/- Per Sq Ft)",Commercial,https://rents.com.bd/property/wonderful-commercial-space-covering-an-area-of-2200-sq-ft-is-available-for-rent-in-banani/,For Rent,,, N/A,2200 Sq Ft,Wonderful Commercial Space Covering An Area Of 2200 Sq Ft Is Available For Rent In Banani, 09 Units,, 01,2020
"Road - 10, Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", North, 03,,04 Bathrooms,04 Bedrooms, North, Residential, 300 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",9th floor, 16 Ft,240 Sq Ft, Govt., Basic Rules,Furnished,01, Road 10,"
", Foreigner," BDT 500,000/-", Residential,https://rents.com.bd/property/luxurious-fully-furnished-apartment-of-3300-sq-ft-now-available-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01,"20,000/-",3300 Sq Ft,Luxurious Fully Furnished Apartment Of 3300 Sq Ft Now Available For Rent In Baridhara Diplomatic Zone, 09 Units,, 01,2020
"Banani, Dhaka, Banani, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Banani, Dhaka",,,Basement 01,,, East Facing, Commercial, 250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",4th floor, 30 Ft,120 Sq Ft,,, Furnished,01 Available, Road 10,"
",," BDT 409,500/- (BDT 130/- Per Sq Ft)",Commercial,https://rents.com.bd/property/nicely-3150-sq-ft-office-space-is-up-for-rent-in-banani/,For Rent,,," BDT 40,950/- (BDT 13/- Per Sq Ft)",3150 Sq Ft,Nicely 3150 Sq Ft Office Space Is Up For Rent In Banani, 07 Units,, 01,2016
"Gulshan Avenue, Dhaka, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Gulshan, Gulshan, Dhaka",,,Basement 01,,, North Facing, Commercial, 250 Sq Ft,"24 hours CC TV coverage,3 basements for car parking,Automatic fire alarm system,Central Air Conditioning,Commercial approved space,Dedicated Electricity Line,Double glazed curtain glass in front side,Full load generator,Generator Backup,Good Location,LEED Certified,Open Space,Road side view,TV Cable,WiFi",9th floor, 15 Ft,120 Sq Ft,,, Un-Furnished,02 Available, Gulshan Avenue,"
",," BDT 360,000/- (BDT 100/- per Sq Ft)",Commercial,https://rents.com.bd/property/a-nicely-constructed-commercial-space-of-3600-sq-ft-is-available-for-rent-in-gulshan-avenue/,For Rent,,," BDT 18,000/- (BDT 5/- per Sq Ft)",3600 Sq Ft,A Nicely Constructed Commercial Space Of 3600 Sq Ft Is Available For Rent In Gulshan Avenue, 09 Units,, 01,2010
"Gulshan 1, Dhaka, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Gulshan, Gulshan, Dhaka",,,Basement 02,,, East Facing, Commercial, 450 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",4th floor, 15 Ft,120 Sq Ft,,, Un-Furnished,01 Available, Road 25,"
",," BDT 392,000/- (BDT 70/- Per Sq Ft)",Commercial,https://rents.com.bd/property/stunning-views-with-quality-finishing-a-5600-sq-ft-commercial-space-is-up-for-rent-in/,For Rent,,, N/A,5600 Sq Ft,Stunning Views With Quality Finishing A 5600 Sq Ft Commercial Space Is Up For Rent In, 06 Units,, 01,2010
"Gulshan 1, Dhaka, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Gulshan, Gulshan, Dhaka",,,Basement 01,,, North Facing, Residential cum Office Space, 150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",3rd floor, 15 Ft,120 Sq Ft,,, Un-Furnished,01 Available, Gulshan 1 Circle,"
",," BDT 100,000/-",Residential cum Office Space,https://rents.com.bd/property/2200-sq-ft-nice-office-is-up-for-rent-at-gulshan-1/,For Rent,,, N/A,2200 Sq Ft,2200 Sq Ft Nice Office Is Up For Rent At Gulshan 1, 06 Units,, 01,2010
"Kemal Ataturk Avenue, Dhaka, Banani, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Banani, Dhaka",,,Basement 02,,, West Facing, Commercial, 350 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",19th floor, 25 Ft,240 Sq Ft,,, Un-Furnished,03 Available, Kemal Ataturk Avenue,"
",," BDT 495,000/- (BDT 110/- Per Sq Ft)",Commercial,https://rents.com.bd/property/stunning-views-with-quality-finishing-a-4500-sq-ft-commercial-space-is-up-for-rent-in-banani/,For Rent,,, N/A,4500 Sq Ft,Stunning Views With Quality Finishing A 4500 Sq Ft Commercial Space Is Up For Rent In Banani, 23 Units,, 01,2018
"Gulshan 2, Dhaka, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Gulshan, Gulshan, Dhaka",,,Basement 02,,, West Facing, Commercial, 250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",8th floor, 30 Ft,240 Sq Ft,,, Un-Furnished,02 Available, Gulshan 2 Circle,"
",," BDT 555,000/- (BDT 150/- Per Sq Ft)",Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-3700-sq-ft-brand-new-office-space-now-vacant-for-rent-in-gulshan/,For Rent,,," BDT 37,000/- (BDT 10/- Per Sq Ft)",3700 Sq Ft,Spaciously Designed And Strongly Structured This 3700 Sq. Ft Brand New Office Space Now Vacant For Rent In Gulshan, 15 Units,, 01,2022
"Road 11, Dhaka, Banani, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Banani, Dhaka",,,Basement 02,,, West Facing, Commercial, 150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",3rd floor, 25 Ft,120 Sq Ft,,, Un-Furnished,02 Available, Road 11,"
",," BDT 283,500/- (BDT 135/- Per Sq Ft)",Commercial,https://rents.com.bd/property/a-modern-well-planned-brand-new-commercial-space-of-2100-sq-ft-is-up-for-rent-is-situated-in-banani/,For Rent,,," BDT 28,000/-",2100 Sq Ft,A Modern Well-planned Brand New Commercial Space Of 2100 Sq Ft Is Up For Rent Is Situated In Banani, 06 Units,, 01,2022
"Banani, Dhaka, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Banani, Office Space Rent in Banani, Dhaka",,,Basement 01,,, North Facing, Commercial, 320 Sq Ft,"24 hours CC TV coverage,3 basements for car parking,Automatic fire alarm system,Central Air Conditioning,Commercial approved space,Dedicated Electricity Line,Double glazed curtain glass in front side,Full load generator,Generator Backup,Good Location,LEED Certified,Open Space,Road side view,TV Cable,WiFi",4th floor, 30 Ft,120 Sq Ft,,, Un-Furnished,02 Available, Banani,"
",," BDT 295,650/- (BDT 90/- per Sq Ft)",Commercial,https://rents.com.bd/property/rarely-available-a-3285-sq-ft-commercial-space-to-rent-in-banani-with-satisfactory-price/,For Rent,,," BDT 49,275/- (BDT 15/- per Sq Ft)",3285 Sq Ft,Rarely Available A 3285 Sq Ft Commercial Space To Rent In Banani With Satisfactory Price, 12 Units,, 02,2017
"Gulshan Avenue, Dhaka, Commercial, Commercial space for rent in Dhaka [Easy Guideline], Commercial Space Rent in Gulshan, Gulshan, Dhaka",,,Basement 02,,, East Facing, Commercial, 450 Sq Ft,"24 hours CC TV coverage,3 basements for car parking,Automatic fire alarm system,Central Air Conditioning,Commercial approved space,Dedicated Electricity Line,Double glazed curtain glass in front side,Full load generator,Generator Backup,Good Location,LEED Certified,Open Space,Road side view,TV Cable,WiFi",9th floor, 40 Ft,360 Sq Ft,,, Un-Furnished,03 Available, Gulshan Avenue,"
",," BDT 10,44,050/- (BDT 190/- per Sq Ft)",Commercial,https://rents.com.bd/property/a-nicely-constructed-apartment-of-5495-sq-ft-is-available-for-rent-in-gulshan-avenue/,For Rent,,," BDT 120,890/- (BDT 22/- per Sq Ft)",5495 Sq Ft,A Nicely Constructed Apartment Of 5495 Sq Ft Is Available For Rent In Gulshan Avenue, 15 Units,, 01,2017
