title,basic_info,amenities,address,type,purpose(rent/sale),price_in_BDT,details,page_url,listing_url
2700 sqft Unfurnished Apartment for Rent @ Gulshan-2," 2700 sqft, 3 bd, 3 ba","Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Gulshan-2, Dhaka, Gulshan-2, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties?page=16,http://www.rentalhomebd.com/properties/2700-sqft-unfurnished-apartment-for-rent-at-gulshan-2/235
2800 sqft Furnished Apartment for Rent @ Gulshan-2," 2800 sqft, 3 bd, 4 ba","Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Gulshan-2, Dhaka, Gulshan-2, Dhaka",Apartment/Flats,Rent, 220000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  440000,",http://www.rentalhomebd.com/properties?page=16,http://www.rentalhomebd.com/properties/2800-sqft-furnished-apartment-for-rent-at-gulshan-2/236
2800 sqft Furnished Apartment with Swimming Pool and Gym facilities for Rent @ Gulshan-2," 2800 sqft, 4 bd, 5 ba","Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Visitor's Car Parking,Gymnasium,Swimming Pool,Child Allowed","Gulshan-2, Dhaka, Gulshan-2, Dhaka",Apartment/Flats,Rent, 200000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  12,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  17000,,Advance Deposit:  400000,",http://www.rentalhomebd.com/properties?page=16,http://www.rentalhomebd.com/properties/2800-sqft-furnished-apartment-with-swimming-pool-and-gym-facilities-for-rent-at-gulshan-2/237
2200 sqft Unfurnished Apartment for Rent @ Banani," 2200 sqft, 3 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/2200-sqft-unfurnished-apartment-for-rent-at-banani/206
2450 sqft Unfurnished Apartment for Rent @ Banani," 2450 sqft, 3 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 175000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  350000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/2450-sqft-unfurnished-apartment-for-rent-at-banani/207
2500 sqft Furnished Apartment for Rent @ Banani," 2500 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 155000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Balcony:  No,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  12000,,Advance Deposit:  465000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/2500-sqft-furnished-apartment-for-rent-at-banani/209
2515 sqft Unfurnished Apartment for Rent @ Banani," 2515 sqft, 4 bd, 5 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 150000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  8000,,Advance Deposit:  300000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/2515-sqft-unfurnished-apartment-for-rent-at-banani/210
2600 sqft Unfurnished Apartment for Rent @ Banani," 2600 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  11000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/2600-sqft-unfurnished-apartment-for-rent-at-banani/208
2200 sqft Unfurnished Apartment for Rent @ Baridhara J Block," 2200 sqft, 3 bd, 4 ba","Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 98000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  7000,,Advance Deposit:  196000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/2200-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/213
1500 sqft Unfurnished Apartment for Rent @ Baridhara J Block," 1500 sqft, 3 bd, 3 ba","Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 80000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  5000,,Advance Deposit:  160000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/1500-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/211
1350 sqft Unfurnished Apartment for Rent @ Baridhara J Block," 1350 sqft, 3 bd, 2 ba","Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 75000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Service Charge:  5000,,Advance Deposit:  150000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/1350-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/212
1100 sqft Unfurnished Apartment for Rent @ Baridhara J Block," 1100 sqft, 3 bd, 3 ba","Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 82000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Balcony:  Yes,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  4700,,Advance Deposit:  164000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/1100-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/214
1400 sqft Furnished Apartment for Rent @ Baridhara J Block," 1400 sqft, 2 bd, 3 ba","Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 70000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  7,,Balcony:  No,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  5000,,Advance Deposit:  140000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/1400-sqft-furnished-apartment-for-rent-at-baridhara-j-block/215
2000 sqft Semi-furnished Apartment for Rent @ Baridhara J Block," 2000 sqft, 3 bd, 4 ba","Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 80000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  5000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/2000-sqft-semi-furnished-apartment-for-rent-at-baridhara-j-block/216
3400 sqft Unfurnished Apartment for Rent @ Baridhara J Block," 3400 sqft, 4 bd, 4 ba","Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 100000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  200000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/3400-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/217
1150 sqft Unfurnished Apartment for Rent @ Baridhara J Block," 1150 sqft, 3 bd, 2 ba","Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 77000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Advance Deposit:  154000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/1150-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/218
2000 sqft Unfurnished Apartment for Rent @ Baridhara J Block," 2000 sqft, 3 bd, 3 ba","Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 90000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  5000,,Advance Deposit:  180000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/2000-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/219
1700 sqft Unfurnished Apartment for Rent @ Banani," 1700 sqft, 2 bd, 3 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 100000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  5000,,Advance Deposit:  200000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/1700-sqft-unfurnished-apartment-for-rent-at-banani/220
3400 sqft Semi-furnished Apartment for Rent @ Baridhara Diplomatic Zone," 3400 sqft, 4 bd, 5 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara Diplomatic Zone, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent, 145000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  15000,,Advance Deposit:  290000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/3400-sqft-semi-furnished-apartment-for-rent-at-baridhara-diplomatic-zone/187
1700 sqft Unfurnished Apartment for Rent @ Banani," 1700 sqft, 3 bd, 3 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 95000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  6500,,Advance Deposit:  190000,",http://www.rentalhomebd.com/properties?page=17,http://www.rentalhomebd.com/properties/1700-sqft-unfurnished-apartment-for-rent-at-banani/221
1620 sqft Furnished Apartment for Rent @ Banani," 1620 sqft, 2 bd, 3 ba","Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed,Driver Room","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 95000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  5500,,Advance Deposit:  190000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/1620-sqft-furnished-apartment-for-rent-at-banani/191
1880 sqft Unfurnished Apartment for Rent @ Banani," 1880 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/1880-sqft-unfurnished-apartment-for-rent-at-banani/192
2300 sqft Furnished Apartment for Rent @ Banani," 2300 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 125000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  250000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/2300-sqft-furnished-apartment-for-rent-at-banani/194
1700 sqft Unfurnished Apartment for Rent @ Banani," 1700 sqft, 3 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 110000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  7000,,Advance Deposit:  220000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/1700-sqft-unfurnished-apartment-for-rent-at-banani/193
1740 sqft Unfurnished Apartment for Rent @ Banani," 1740 sqft, 3 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 90000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  6000,,Advance Deposit:  180000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/1740-sqft-unfurnished-apartment-for-rent-at-banani/196
2700 sqft Semi-furnished Apartment for Rent @ Banani," 2700 sqft, 3 bd, 2 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  9000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/2700-sqft-semi-furnished-apartment-for-rent-at-banani/195
1309 sqft Unfurnished Apartment for Rent @ Banani," 1309 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 85000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  7500,,Advance Deposit:  170000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/1309-sqft-unfurnished-apartment-for-rent-at-banani/198
2221 sqft Semi-furnished Apartment for Rent @ Banani," 2221 sqft, 3 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/2221-sqft-semi-furnished-apartment-for-rent-at-banani/199
2100 sqft Unfurnished Apartment for Rent @ Banani," 2100 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/2100-sqft-unfurnished-apartment-for-rent-at-banani/197
1800 sqft Furnished Apartment for Rent @ Banani," 1800 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 90000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  7000,,Advance Deposit:  180000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/1800-sqft-furnished-apartment-for-rent-at-banani/200
2000 sqft Unfurnished Apartment for Rent @ Banani," 2000 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 95000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  7000,,Advance Deposit:  190000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/2000-sqft-unfurnished-apartment-for-rent-at-banani/201
2800 sqft Furnished Apartment for Rent @ Banani," 2800 sqft, 4 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Emergency Exit,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 145000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Service Charge:  15000,,Advance Deposit:  290000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/2800-sqft-furnished-apartment-for-rent-at-banani/202
2600 sqft Unfurnished Apartment for Rent @ Banani," 2600 sqft, 3 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Emergency Exit,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 110000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  12000,,Advance Deposit:  220000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/2600-sqft-unfurnished-apartments-for-rent-at-banani/203
2450 sqft Unfurnished Apartment for Rent @ Banani," 2450 sqft, 4 bd, 5 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 115000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  7800,,Advance Deposit:  230000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/2450-sqft-unfurnished-apartments-for-rent-at-banani/205
2800 sqft Semi-furnished Apartment for Rent @ Baridhara Diplomatic Zone," 2800 sqft, 3 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara Diplomatic Zone, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  12000,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties?page=19,http://www.rentalhomebd.com/properties/2800-sqft-semi-furnished-apartment-for-rent-at-baridhara-diplomatic-zone/171
2463 sqft Semi-furnished Apartment for Rent @ Banani," 2463 sqft, 3 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 195000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  11500,,Advance Deposit:  390000,",http://www.rentalhomebd.com/properties?page=18,http://www.rentalhomebd.com/properties/2463-sqft-semi-furnished-apartment-for-rent-at-banani/204
4635 sqft Apartment for Rent @ Baridhara Diplomatic Zone," 4635 sqft, 4 bd, 6 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara Diplomatic Zone, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent, 270000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  30000,,Advance Deposit:  540000,",http://www.rentalhomebd.com/properties?page=19,http://www.rentalhomebd.com/properties/4635-sqft-apartment-for-rent-at-baridhara-diplomatic-zone/170
2000 sqft Furnished Apartment for Rent @ Baridhara Diplomatic Zone," 2000 sqft, 3 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara Diplomatic Zone, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  7000,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties?page=19,http://www.rentalhomebd.com/properties/2000-sqft-furnished-apartment-for-rent-at-baridhara-diplomatic-zone/172
