address,num_bath_rooms,num_bed_rooms,property_overview,price,purpose,property_url,area,property_description,building_type,cctv-security-amenity,parking-spaces-amenity,electricity-backup-amenity,balcony-or-terrace-amenity,maintenance-staff-amenity,swimming-pool-amenity,furnished-amenity,building_nature,city,locality
Gulshan Dhaka,0.0,4.0,Luxury furnished apartment for rent Gulshan,500000.0,Rent,https://sharif.com.bd/dhaka/10274/luxurious-furnished-apartment-gulshan,5500,Luxurious furnished apartment Gulshan,Apartment,,2.0,Yes,,,,Yes,Residential,Dhaka,
"Gulshan Dhaka,Bangladesh",4.0,3.0,This is a luxury apartment in Gulshan -1 for foreign family only and here is a child play ground and badminton ground with better roof top available,170000.0,Rent,https://sharif.com.bd/dhaka/10276/furnished-apartment-for-rent-gulshan-1,2530,furnished apartment for rent gulshan-1,Apartment,Yes,2.0,Yes,Yes,Yes,,No,Residential,Dhaka,
Bashundhara,0.0,1.0,"1 & 2 Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available :
> Grocery Shop, BBQ corner
> Swimming Pool, Theatre room,
> Gym with 24/7 and Jogging track
> Daily Room & Bathroom Cleaning
> Multi-purpose Hall Room With Full AC
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement

.",35000.0,Rent,https://sharif.com.bd/dhaka/10295/fully-furnished-studio-apartments-for-rent-in-bangladesh,375,Fully Furnished Studio Apartments For Rent In Bangladesh,Apartment,Yes,1.0,Yes,Yes,Yes,Yes,Yes,Residential,Dhaka,
"Banani Dhaka,Bangladesh",0.0,3.0,The furnished apartment for rent Banani and it is for foreigner people onle,90000.0,Rent,https://sharif.com.bd/dhaka/10278/furnished-apartment-rent-in-banani,2200,furnished apartment rent in banani,Apartment,Yes,1.0,Yes,Yes,,,Yes,Residential,Dhaka,
"Baridhara Diplomatic Zone,Bangladesh",0.0,4.0,Fully furnished apartment for rent Baridhara near ambassy,150000.0,Rent,https://sharif.com.bd/dhaka/10279/luxurious-furnished-apartment-baridhara,3000,Luxurious furnished apartment baridhara,Apartment,Yes,2.0,Yes,Yes,Yes,,Yes,Residential,Dhaka,
Baridhara Diplomatic Zone,0.0,1.0,"Property type: Hotel / Serviced Apartments 
Address:  Baridhara ""J-Block"", Dhaka-1212, Bangladesh
Area Size: Approx 18,250 sqft
Number of Floors : 8-Storied incl basement parking 
Every corner of the property has been exquisitely designed with exceptional attention to detail to reflect the finest in contemporary luxury. 

** The 28 beautifully appointed fully furnished apartment rooms with all amenities (AC, TV, Fridge, Linens, Kitchenette etc) **

includes 1 Triplex with kitchen 
1 Duplex with kitchen 
14 Ensuite of 1BR Apartments with kitchen 
12 Studio Apartments 

views over the city, are styled with exquisite fabrics and furnishings, original artworks and oversized glass showers and with divine double beds. With a truly peace of mind location in Dhaka city, overlooking both green-fields and city skylines, positioned in the posh Diplomatic zone Baridhara, you have never seen another serviced apartment quite so excitingly distinctive, inside and out. From the outside, the incredible gridshell will be seen, whilst the architecture embraces the environment perfectly. Design influences everything at this mesmerizing contemporary Serviced Apartments, from the furniture in the 28 contemporary and modern rooms and suites to the striking interiors.

There is also staff office, Central kitchen, Executive Office, Laundry room and lobby areas with reception set up 

Features: 
50% room with Euro Style Kitchen facilities 
Lap size Swimming pool 

Gym
24/7 full backup Generator
CCTV and security alarm system 
6 Secure Basement parking
Rooftop Lounge for dinning or corporate meeting 
Inner & Outer Lobby facilities
100% operational with all necessary amenities 
Why provide business to other hotels when you can run your own?
This property will surely impress you and far more cost effective than turn-key project.

** Price doesn't include Utilities, Tax-Vat etc.",80000.0,Rent,https://sharif.com.bd/dhaka/10273/furnished-apartment-rent-in-baridhara,1000,furnished apartment rent in Baridhara,Office,,1.0,Yes,,,,Yes,Commercial,Dhaka,
Bashundhara,0.0,1.0,"1 & 2 Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available :
> Grocery Shop, BBQ corner
> Swimming Pool, Theatre room,
> Gym with 24/7 and Jogging track
> Daily Room & Bathroom Cleaning
> Multi-purpose Hall Room With Full AC
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement

.",30000.0,Rent,https://sharif.com.bd/dhaka/10294/one-bed-bedroom-furnished-apartments-for-rent-in-dhaka,300,One Bed bedroom furnished apartments for rent in Dhaka,Apartment,Yes,1.0,Yes,,Yes,Yes,Yes,Residential,Dhaka,
"Gulshan Dhaka,Bangladesh",6.0,4.0,Nice apartment for rent Gulshan,200000.0,Rent,https://sharif.com.bd/dhaka/10290/apartment-rent-gulshan,4100,apartment rent gulshan,Apartment,Yes,1.0,Yes,,Yes,,No,Residential,Dhaka,
"Gulshan Dhaka,Bangladesh",5.0,4.0,Non furnished apartment for rent gulshan,250000.0,Rent,https://sharif.com.bd/dhaka/10283/non-furnished-apartment-rent-gulshan,4300,non furnished apartment rent gulshan,Apartment,Yes,1.0,Yes,,Yes,,Yes,Residential,Dhaka,
"Banani Dhaka,Bangladesh",4.0,3.0,Fully furnished apartment rent in Banani,130000.0,Rent,https://sharif.com.bd/dhaka/10291/furnished-apartment-rent-north-banani,2450,furnished apartment rent north banani,Apartment,Yes,1.0,Yes,,,,Yes,Residential,Dhaka,
"Baridhara Diplomatic Zone,Bangladesh",5.0,4.0,The luxury apartment for rent Braidhara,350000.0,Rent,https://sharif.com.bd/dhaka/10292/furnished-apartment-baridhara-diplomatic-zone,3500,furnished apartment baridhara diplomatic zone,Apartment,Yes,1.0,Yes,Yes,Yes,,No,Residential,Dhaka,
"Banani Dhaka,Bangladesh",4.0,3.0,Nice apartment for rent Banani,120000.0,Rent,https://sharif.com.bd/dhaka/10293/furnished-apartment-north-banani,2400,furnished apartment north banani,Apartment,Yes,1.0,Yes,,Yes,,No,Residential,Dhaka,
"Baridhara Diplomatic Zone,Bangladesh",0.0,3.0,Luxurious furnished apartment in Baridhara for rent and we are expecting foreign people only,350000.0,Rent,https://sharif.com.bd/dhaka/10269/luxurious-apartment-in-baridhara,3000,Luxurious apartment in Baridhara,Apartment,,2.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,4.0,Furnished apartment rent gulshan,160000.0,Rent,https://sharif.com.bd/dhaka/10249/full-furnished-apartment-for-rent-in-gulshan-dhaka,3000,Full furnished apartment for rent in Gulshan Dhaka,Apartment,,2.0,Yes,,,,Yes,Residential,Dhaka,
Baridhara Diplomatic Zone,0.0,3.0,"Luxurious simplex apartment rent Baridhara for foreign family only, it's very close to Mosque of Baridhara and close to embassy, this is the most important place of Baridhara for furnished apartments for rent in Baridhara Diplomatic Zone  
very nice Furnished Apartment rent in Baridhara

In Dhaka, Baridhara is a high-end residential zone. It is situating across Lake Gulshan-Baridhara in the northeast and the east from Gulshan. It has separate areas reserved for ambassadors, and there are several international embassies and high committees—US-Bangla Airlines headquarters located in the Baridhara Diplomatic Zone.  American International School still resides in Baridhara. So, we can say that Baridhara is one of the best places to live.",250000.0,Rent,https://sharif.com.bd/dhaka/10243/furnished-apartment-for-rent-baridhara,2750,Furnished Apartment For Rent Baridhara,Apartment,,2.0,Yes,,,,Yes,Residential,Dhaka,
"Gulshan Dhaka,Bangladesh",5.0,4.0,Luxury apartment for rent gulshan,160000.0,Rent,https://sharif.com.bd/dhaka/10250/furnished-apartment-for-rent-in-gulshan-dhaka,3000,Furnished Apartment For Rent in Gulshan Dhaka,Apartment,Yes,1.0,Yes,,Yes,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,4.0,Luxury apartment for rent in Gulshan for foreign family only,250000.0,Rent,https://sharif.com.bd/dhaka/10270/luxury-apartment-rent-in-gulshan-2,3700,Luxury apartment rent in Gulshan-2,Apartment,,2.0,Yes,,,,No,Residential,Dhaka,
"Gulshan Dhaka,Bangladesh",4.0,3.0,"This is a luxury furnished apartment for rent in Gulshan-1 
Road-140, House-2, Apartment- B11 and the size of apartment-2800 sqf with car parking 
And playground for child and badminton ground, Common GIM facility, conference room / community center and a Mosque in the building, the building has built by Assurance developer, it is a brand new building, The apartment has 3 bed drawing and dining and a servant room with wash rooms, luxury kitchen.",180000.0,Rent,https://sharif.com.bd/dhaka/10262/luxuary-furnished-apartment-for-rent-gulshan,2800,Luxuary Furnished Apartment for Rent Gulshan,Apartment,Yes,2.0,Yes,Yes,,,Yes,Residential,Dhaka,
"Gulshan Dhaka,Bangladesh",4.0,4.0,It is a luxury furnished apartment for foreign people only and north Gulshan-2,250000.0,Rent,https://sharif.com.bd/dhaka/10264/luxurious-furnished-apartment-gulshan,2400,Luxurious furnished apartment Gulshan,Apartment,,1.0,Yes,Yes,,Yes,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,0.0,Commercial Building rent gulshan and it's first floor for showroom and other floor for office space,300.0,Rent,https://sharif.com.bd/dhaka/10244/office-space-for-rent-gulshan,4400,Office Space for Rent gulshan,Shop,,1.0,Yes,,,,No,Commercial,Dhaka,
