amenities,area,balconies,baths,bedroom,location,price,property_type,property_url,purpose
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",5 Katha,,,,"Mohammadpur , Dhaka",35.00 Lac,Residential Plot,https://www.bdhousing.com/details/245062/5-katha-ready-residential-plot-sale-mohammadpur,Sale
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,Wi-Fi connectivity,Satellite or cable TV",1600 sqft,3,03,03,"Bashundhara R/A , Dhaka",1.36 Cr.,Apartment/Flats,https://www.bdhousing.com/details/244997/almost-ready-apartment-flats-sale-bashundhara-r-a,Sale
,864 sqft,3,03,03,"Chandgaon , Chittagong",52.00 Lac,Independent House,https://www.bdhousing.com/details/243750/864-sqft-3-beds-almost-ready-independent-house-for-sale-at-chandgaon,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1265 sqft,2,03,03,"Kallyanpur , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244096/3-beds-almost-ready-apartment-flats-sale-kallyanpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1339 sqft,2,03,03,"Kallyanpur , Dhaka",82.00 Lac,Apartment/Flats,https://www.bdhousing.com/details/244240/1300-sqft-corner-apt-c-kallyanpur,Sale
"Mosque/Prayer Room,Security,Lift,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Garden,Solar panels,Guest Parking,Fire Protection",1133 sqft,3,03,03,"Agargaon , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245418/1133-sqft-3-beds-used-apartment-flats-for-sale-at-agargaon,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Keraniganj , Dhaka",17.00 Lac,Residential Plot,https://www.bdhousing.com/details/245708/3-katha-upcoming-residential-plot-sale-keraniganj,Sale
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Satellite or cable TV,Solar panels,Fire Protection",1420 sqft,3,03,03,"Basabo , Dhaka",1.11 Cr.,Apartment/Flats,https://www.bdhousing.com/details/243276/1420-sqft-3-beds-under-construction-apartment-flats-for-sale-at-basabo,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1094 sqft,2,03,03,"Manda , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/240210/1100-sqft-3-beds-ready-apartment-flats-for-sale-at-manda,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1550 sqft,4,03,04,"Mohammadpur , Dhaka",,Land Sharing Flat,https://www.bdhousing.com/details/245570/4-beds-upcoming-land-sharing-flat-sale-mohammadpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1380 sqft,3,03,03,"Kallyanpur , Dhaka",75.90 Lac,Apartment/Flats,https://www.bdhousing.com/details/239219/1380-sqft-3-beds-ready-apartment-flats-for-sale-at-kallyanpur,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",5 Katha,,,,"Purbachal , Dhaka",20.00 Lac,Residential Plot,https://www.bdhousing.com/details/244739/5-katha-residential-plot-sale-purbachal,Sale
"Mosque/Prayer Room,Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Solar panels,Servent Room,Servent Toilet",1150 sqft,2,02,03,"Monipur , Dhaka",66.25 Lac,Apartment/Flats,https://www.bdhousing.com/details/245593/1150-sqft-3-beds-apartment-flats-sale-monipur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1250 sqft,3,03,03,"Aftab Nagar , Dhaka",87.50 Lac,Apartment/Flats,https://www.bdhousing.com/details/243665/1250-sqft-3-beds-almost-ready-apartment-flats-for-sale-at-aftab-nagar,Sale
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Satellite or cable TV,Garden,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1600 sqft,5,03,03,"Aftab Nagar , Dhaka",1.23 Cr.,Apartment/Flats,https://www.bdhousing.com/details/245666/1600-sqft-3-beds-almost-ready-apartment-flats-for-sale-at-aftab-nagar,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Mohammadpur , Dhaka",33.00 Lac,Residential Plot,https://www.bdhousing.com/details/245774/3-katha-ready-residential-plot-sale-mohammadpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Fire Protection",1400 sqft,2,03,03,"West Dhanmondi , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244459/1400-sqft-3-beds-apartment-flats-sale-west-dhanmondi,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2700 sqft,4,05,05,"Aftab Nagar , Dhaka",1.77 Cr.,Apartment/Flats,https://www.bdhousing.com/details/244794/2700-sqft-5-beds-apartment-flats-sale-aftab-nagar,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1455 sqft,3,03,03,"Bashundhara R/A , Dhaka",1.10 Cr.,Apartment/Flats,https://www.bdhousing.com/details/243787/1455-sqft-3-beds-upcoming-apartment-flats-for-sale-at-bashundhara-r-a,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Pool,Gymnasium,Garden,Solar panels,Servent Room,Servent Toilet,Fire Protection",2721 sqft,5,04,04,"Dhanmondi , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/240158/2721-sqft-4-beds-under-construction-apartment-flats-for-sale-at-dhanmondi,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1330 sqft,3,03,03,"Rampura , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245159/3-beds-ready-apartment-flats-sale-rampura,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Purbachal , Dhaka",15.00 Lac,Residential Plot,https://www.bdhousing.com/details/245031/3-katha-almost-ready-residential-plot-for-sale-at-purbachal,Sale
,1450 sqft,4,03,03,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245464/1450-sqft-3-beds-apartment-flats-sale-bashundhara-r-a,Sale
"Security,Lift,Fire exit,WASA connection,Hot water and heating,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Solar panels,Guest Parking,Fire Protection",1551 sqft,3,03,03,"Aftab Nagar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/242474/1551-sqft-3-beds-under-construction-apartment-flats-for-sale-at-aftab-nagar,Sale
"Mosque/Prayer Room,Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels",1590 sqft,2,03,03,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244892/1590-sqft-3-beds-under-construction-apartment-flats-for-sale-at-bashundhara-r-a,Sale
"Security,Lift,Fire exit,WASA connection,Hot water and heating,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Garden,Solar panels,Guest Parking,Fire Protection",1453 sqft,2,03,03,"Ukilpara , Naogaon",,Apartment/Flats,https://www.bdhousing.com/details/242475/1453-sqft-3-beds-under-construction-apartment-flats-for-sale-at-ukilpara,Sale
"Mosque,Play Ground,Security,Lakes,School,College,Hospital,Banks",4 Katha,,,,"Bashundhara R/A , Dhaka",80.00 Lac,Residential Plot,https://www.bdhousing.com/details/245674/4-katha-ready-residential-plot-sale-bashundhara,Sale
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1540 sqft,2,03,03,"Aftab Nagar , Dhaka",1.04 Cr.,Apartment/Flats,https://www.bdhousing.com/details/243439/1540-sqft-3-beds-under-construction-apartment-flats-for-sale-at-aftab-nagar,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2010 sqft,4,03,03,"Bashundhara R/A , Dhaka",1.09 Cr.,Land Sharing Flat,https://www.bdhousing.com/details/245700/2010-sqft-3-beds-upcoming-land-sharing-flat-sale-bashundhara,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Purbachal , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244467/3-katha-residential-plot-sale-purbachal,Sale
"WASA connection,Self Water supply,Gas Connection,Electricity,Satellite or cable TV",1961 sqft,1,06,06,"Basabo , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244772/1961-sqft-6-beds-used-apartment-flats-for-sale-at-basabo,Sale
"Security,Lift,Fire exit,WASA connection,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Fire Protection",3756 sqft,,,,"Mohammadpur , Dhaka",0,Office Space,https://www.bdhousing.com/details/243877/3756-sqft-furnished-office-space-for-sale-at-mirpur-road-near-asad-gate,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2042 sqft,,01,05,"Adabor , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244379/5-beds-ready-apartment-flats-sale-adabor,Sale
"Security,Lift,WASA connection,Gas Connection,Electricity,Generator,Telephone line,Satellite or cable TV",1800 sqft,3,04,04,"Khilgaon , Dhaka",1.80 Cr.,Apartment/Flats,https://www.bdhousing.com/details/244664/1800-sqft-4-beds-under-construction-apartment-flats-sale-khilgaon,Sale
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Servent Toilet",1850 sqft,4,04,03,"Bangla Motor , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245490/1850-sqft-3-beds-apartment-flats-sale-bangla-motor,Sale
"Self Water supply,Cylinder Gas,Wi-Fi connectivity,Garden,Guest Parking,Servent Room,Servent Toilet",1950 sqft,2,04,04,"Mithapukur , Rangpur",48.50 Lac,Duplex Home,https://www.bdhousing.com/details/243654/1950-sqft-4-beds-ready-duplex-home-for-sale-at-mithapukur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1651 sqft,4,03,03,"Uttara , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244635/3-beds-ready-apartment-flats-sale-uttara,Sale
"Mosque/Prayer Room,Security,Lift,WASA connection,Electricity,Generator,CCTV,Satellite or cable TV,Servent Toilet",1340 sqft,2,03,03,"Agargaon , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/243601/1340-sqft-3-beds-under-construction-apartment-flats-for-sale-at-agargaon,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",17 Katha,,,,"Mirpur 10 , Dhaka",,Residential Plot,https://www.bdhousing.com/details/245634/17-katha-ready-residential-plot-sale-mirpur-10,Sale
,139 Katha,,,,"Tongi , Gazipur",8.28 Lac,Commercial Plot,https://www.bdhousing.com/details/244161/139-katha-commercial-plot-sale-tongi,Sale
"Security,Lift,WASA connection,Self Water supply,Cylinder Gas,Electricity,Generator,CCTV,Satellite or cable TV,Garden,Solar panels,Guest Parking,Fire Protection",1380 sqft,3,03,03,"Azompur , Dhaka",55.20 Lac,Apartment/Flats,https://www.bdhousing.com/details/245383/1380-sqft-3-beds-flats-sale-azompur,Sale
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1604 sqft,3,04,03,"Mirpur 11 , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244095/3-beds-apartment-flats-sale-mirpur-11,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",4 Katha,,,,"Narayangonj Sadar , Narayanganj",,Residential Plot,https://www.bdhousing.com/details/244770/4-katha-ready-residential-plot-sale-narayangonj-sadar,Sale
,615 Katha,,,,"sadar , Mymensingh",,Commercial Plot,https://www.bdhousing.com/details/244891/149-katha-industrial-plot-sale-gouripur-mymensingh,Sale
"Lift,Fire exit,WASA connection,Electricity,Generator,CCTV,Security Alarm System,Electronic security,Solar panels,Fire Protection",3017 sqft,,,,"Gulshan 01 , Dhaka",4.83 Lac,Office Space,https://www.bdhousing.com/details/245346/ready-office-space-sale-gulshan-1,Sale
"Security,Lift,WASA connection,Gas Connection,Electricity,Inter com",1159 sqft,,03,03,"Lalbag , Dhaka",52.16 Lac,Apartment/Flats,https://www.bdhousing.com/details/243724/1159-sqft-3-beds-under-development-apartment-flats-for-sale-at-lalbag,Sale
"Security,WASA connection,Satellite or cable TV,Garden",1300 sqft,3,03,03,"Aftab Nagar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245292/1300-sqft-apartment-flats-sale-aftab-nagar,Sale
"Security,Lift,WASA connection,Self Water supply,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Solar panels,Fire Protection",1600 sqft,4,04,04,"Kamalapur , Dhaka",1.09 Cr.,Apartment/Flats,https://www.bdhousing.com/details/244290/1600-sqft-4-beds-under-construction-apartment-flats-for-sale-at-kamalapur,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Mohammadpur , Dhaka",33.00 Lac,Residential Plot,https://www.bdhousing.com/details/245769/3-katha-ready-residential-plot-for-sale-at-mohammadpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1450 sqft,2,03,03,"Uttara , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245581/3-beds-apartment-flats-sale-uttara,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Garden,Solar panels,Servent Room,Servent Toilet,Fire Protection",2315 sqft,4,04,04,"Bashundhara R/A , Dhaka",1.92 Cr.,Apartment/Flats,https://www.bdhousing.com/details/245175/4-beds-ready-apartment-flats-sale-bashundhara,Sale
"Security,Lift,Fire exit,WASA connection,Cylinder Gas,Electricity,Generator,Telephone line,Servent Room,Servent Toilet,Fire Protection",2150 sqft,4,03,04,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244951/2150-sqft-4-beds-almost-ready-apartment-flats-sale-bashundhara,Sale
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Electronic security,Solar panels,Fire Protection",1350 sqft,3,03,03,"Savar , Dhaka",74.25 Lac,Apartment/Flats,https://www.bdhousing.com/details/244374/1350-sqft-3-beds-under-construction-apartment-flats-sale-savar,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",5 Katha,,,,"Uttara , Dhaka",1.50 Cr.,Residential Plot,https://www.bdhousing.com/details/245546/5-katha-near-metro-station-1-south-face-land-for-sale-at-uttara,Sale
"WASA connection,Self Water supply,Gas Connection,Electricity,CCTV",750 sqft,1,02,02,"Kamalapur , Dhaka",60.00 Lac,Apartment/Flats,https://www.bdhousing.com/details/245291/750-sqft-2-beds-ready-apartment-flats-sale-kamalapur,Sale
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Generator,Telephone line,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Guest Parking",1200 sqft,2,03,03,"Lalbag , Dhaka",69.00 Lac,Apartment/Flats,https://www.bdhousing.com/details/244519/1200-sqft-3-beds-under-construction-apartment-flats-for-sale-at-lalbag,Sale
"Security,Lift,Electricity,CCTV,Fire Protection",1500 sqft,3,03,03,"Aftab Nagar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245187/1400-sqft-3-beds-ready-apartment-flats-sale-aftab-nagar,Sale
"Security,Lift,Self Water supply,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Fire Protection",1550 sqft,3,03,03,"Bashundhara R/A , Dhaka",1.32 Cr.,Apartment/Flats,https://www.bdhousing.com/details/244286/1550-sqft-3-beds-under-construction-apartment-flats-for-sale-at-bashundhara-r-a,Sale
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Servent Toilet",1600 sqft,2,03,03,"Kallyanpur , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245475/3-beds-apartment-flats-sale-kallyanpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1050 sqft,2,02,03,"Badda , Dhaka",,Land Sharing Flat,https://www.bdhousing.com/details/245574/1050-sqft-3-beds-upcoming-land-sharing-flat-for-sale-at-badda,Sale
"Security,Lift,Gas Connection,Electricity,Inter com,Solar panels,Servent Room,Servent Toilet",2064 sqft,3,03,03,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245478/2064-sqft-4-beds-ready-apartment-flats-sale--bashundhara,Sale
"Security,Lift,WASA connection,Electricity,Generator,Inter com,CCTV,Satellite or cable TV,Solar panels,Fire Protection",1370 sqft,2,03,03,"Khilkhet , Dhaka",67.82 Lac,Apartment/Flats,https://www.bdhousing.com/details/244992/1370-sqft-3-beds-almost-ready-apartment-flats-for-sale-at-khilkhet,Sale
"Security,WASA connection,Hot water and heating,Gas Connection,Electricity",1180 sqft,2,03,02,"Baridhara , Dhaka",64.90 Lac,Apartment/Flats,https://www.bdhousing.com/details/244129/1180-sqft-2-beds-ready-apartment-flats-for-sale-at-kalachadpur,Sale
"Security,Lift,Self Water supply,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,Garden,Solar panels",1575 sqft,2,03,03,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245572/1575-sqft-3-beds-under-construction-apartment-flats-for-sale-at-bashundhara-r-a,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Purbachal , Dhaka",8.50 Lac,Residential Plot,https://www.bdhousing.com/details/245583/residential-plot-sale-purbachal,Sale
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Satellite or cable TV,Fire Protection",1350 sqft,2,03,03,"Aftab Nagar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244932/1350-sqft-3-beds-under-construction-apartment-flats-sale-aftab-nagar,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Fire Protection",1602 sqft,2,03,03,"Banasree , Dhaka",1.04 Cr.,Apartment/Flats,https://www.bdhousing.com/details/245566/1602-sqft-3-beds-under-construction-apartment-flats-for-sale-at-banasree,Sale
"Security,Lift,WASA connection,Gas Connection,Electricity,Generator,Telephone line,CCTV,Solar panels",1750 sqft,4,03,03,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245413/1750-sqft-3-beds-ready-apartment-flats-sale-bashundhara,Sale
,3 Katha,,,,"Mirpur 1 , Dhaka",,Residential Plot,https://www.bdhousing.com/details/245427/residential-plot-sale-mirpur-1,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Satellite or cable TV,Electronic security,Guest Parking,Fire Protection",2000 sqft,3,03,04,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245532/2000-sqft-4-beds-ready-apartment-flats-sale-bashundhara,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Hospital,Bazaar,Water Supply,Banks",5 Katha,,,,"Savar , Dhaka",,Residential Plot,https://www.bdhousing.com/details/243799/5-katha-ready-residential-plot-sale-savar,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Mohammadpur , Dhaka",17.00 Lac,Residential Plot,https://www.bdhousing.com/details/245761/3-katha-residential-plot-sale-mohammadpur,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",5 Katha,,,,"Purbachal , Dhaka",20.00 Lac,Residential Plot,https://www.bdhousing.com/details/245174/5-katha-residential-plot-sale-purbachal,Sale
"Security,Lift,WASA connection,Self Water supply,Gas Connection,Electricity,Wi-Fi connectivity,Electronic security",1020 sqft,2,02,03,"Uttara , Dhaka",50.49 Lac,Apartment/Flats,https://www.bdhousing.com/details/245503/3-beds-ready-apartment-flats-sale-uttara,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1400 sqft,,01,01,"Gollamari , Khulna",70.00 Lac,Apartment/Flats,https://www.bdhousing.com/details/244442/1400-sqft-1-bed-ready-apartment-flats-for-sale-at-gollamari,Sale
